user_id,eligibility,eligible_trajectories,history_tertile,discovery_membership,prior_use,evaluation_membership,expanded_membership,exclusion_reason
0,true,160,upper,false,false,true,true,
1,true,69,lower,true,true,false,false,discovery_configuration_selection
2,true,164,upper,true,true,false,false,discovery_configuration_selection
3,true,313,upper,true,true,false,false,discovery_configuration_selection
4,true,388,upper,false,true,false,true,prior_analysis
5,true,82,middle,false,true,false,true,prior_analysis
6,false,,,false,true,false,false,minimum_history_not_met
7,true,51,lower,false,true,false,true,prior_analysis
8,false,,,false,true,false,false,minimum_history_not_met
9,true,49,lower,false,true,false,true,prior_analysis
10,true,153,middle,true,true,false,false,discovery_configuration_selection
11,true,173,upper,false,true,false,true,prior_analysis
12,true,75,middle,true,true,false,false,discovery_configuration_selection
13,true,130,middle,false,true,false,true,prior_analysis
14,true,265,upper,true,true,false,false,discovery_configuration_selection
15,true,65,lower,true,true,false,false,discovery_configuration_selection
16,true,48,lower,false,false,true,true,
17,true,378,upper,false,false,true,true,
18,true,44,lower,true,true,false,false,discovery_configuration_selection
19,true,73,middle,false,false,true,true,
20,true,130,middle,false,false,true,true,
22,true,140,middle,true,true,false,false,discovery_configuration_selection
24,true,94,middle,false,false,true,true,
25,true,662,upper,false,false,true,true,
26,true,42,lower,false,false,true,true,
28,true,62,lower,false,false,true,true,
29,true,42,lower,false,false,true,true,
30,true,285,upper,true,true,false,false,discovery_configuration_selection
34,true,188,upper,true,true,false,false,discovery_configuration_selection
35,true,74,middle,false,false,true,true,
36,true,69,lower,false,false,true,true,
37,true,145,middle,false,false,true,true,
38,true,104,middle,false,false,true,true,
39,true,224,upper,false,false,true,true,
41,true,524,upper,true,true,false,false,discovery_configuration_selection
42,true,135,middle,true,true,false,false,discovery_configuration_selection
43,true,42,lower,true,true,false,false,discovery_configuration_selection
44,true,64,lower,true,true,false,false,discovery_configuration_selection
50,true,45,lower,true,true,false,false,discovery_configuration_selection
51,true,43,lower,false,false,true,true,
52,true,98,middle,false,false,true,true,
62,true,579,upper,false,false,true,true,
65,true,117,middle,false,false,true,true,
67,true,115,middle,true,true,false,false,discovery_configuration_selection
68,true,395,upper,false,false,true,true,
71,true,71,lower,false,false,true,true,
73,true,70,lower,true,true,false,false,discovery_configuration_selection
74,true,85,middle,true,true,false,false,discovery_configuration_selection
78,true,85,middle,true,true,false,false,discovery_configuration_selection
82,true,90,middle,true,true,false,false,discovery_configuration_selection
84,true,206,upper,true,true,false,false,discovery_configuration_selection
85,true,415,upper,false,false,true,true,
88,true,48,lower,false,false,true,true,
89,true,60,lower,false,false,true,true,
91,true,89,middle,false,false,true,true,
92,true,143,middle,false,false,true,true,
96,true,107,middle,false,false,true,true,
101,true,63,lower,false,false,true,true,
103,true,45,lower,false,false,true,true,
104,true,110,middle,true,true,false,false,discovery_configuration_selection
112,true,188,upper,false,false,true,true,
115,true,172,upper,true,true,false,false,discovery_configuration_selection
119,true,44,lower,false,false,true,true,
125,true,54,lower,true,true,false,false,discovery_configuration_selection
126,true,250,upper,false,false,true,true,
128,true,2040,upper,false,true,false,true,prior_analysis
134,true,64,lower,false,false,true,true,
140,true,353,upper,true,true,false,false,discovery_configuration_selection
142,true,153,middle,true,true,false,false,discovery_configuration_selection
144,true,478,upper,false,false,true,true,
147,true,77,middle,false,false,true,true,
153,true,1944,upper,false,true,false,true,prior_analysis
155,true,40,lower,true,true,false,false,discovery_configuration_selection
163,true,783,upper,false,true,false,true,prior_analysis
167,true,374,upper,true,true,false,false,discovery_configuration_selection
168,true,94,middle,false,false,true,true,
174,true,65,lower,true,true,false,false,discovery_configuration_selection
179,true,70,lower,false,false,true,true,
