requested_k,ratio,ambiguity_stratum,cases,users,mean_entropy_nats,mean_effective_destinations,mean_top1_share,case_share
5,0.25,high,502,31,1.4199960933647289,4.172762860124834,0.33665338645418325,0.3403389830508475
5,0.25,low,387,36,0.33101555665575216,1.4295672647217732,0.8677002583979329,0.26237288135593223
5,0.25,medium,586,37,0.9204856205223837,2.52932193162571,0.5583617747440273,0.39728813559322035
5,0.5,high,442,30,1.4388170679885754,4.254948563862151,0.3230769230769231,0.29966101694915254
5,0.5,low,624,37,0.4045141933038209,1.5420475589864937,0.8125,0.4230508474576271
5,0.5,medium,409,36,0.9863477951113772,2.68477716337078,0.5310513447432763,0.27728813559322035
5,0.66,high,407,29,1.4445812857063296,4.28011922048843,0.31891891891891894,0.2759322033898305
5,0.66,low,656,35,0.2517268289140274,1.3266722762100898,0.899390243902439,0.4447457627118644
5,0.66,medium,412,37,0.909503432750753,2.5026408720985116,0.5660194174757281,0.27932203389830507
5,0.75,high,401,32,1.3660585532748977,3.98767787860362,0.3411471321695761,0.271864406779661
5,0.75,low,732,37,0.21055183941224298,1.2732384503382026,0.9158469945355191,0.49627118644067797
5,0.75,medium,342,35,0.8854146626896141,2.4399116090048647,0.6,0.23186440677966103
10,0.25,high,586,30,1.7288192808526297,5.770605977829779,0.34215017064846415,0.39728813559322035
10,0.25,low,484,32,0.6402380238300578,1.9590505165597472,0.7555785123966942,0.328135593220339
10,0.25,medium,405,34,1.1855560476568956,3.29644873276776,0.5192592592592593,0.2745762711864407
10,0.5,high,585,30,1.7042987369308822,5.708423746572652,0.34051282051282056,0.39661016949152544
10,0.5,low,457,34,0.504619343795366,1.705133086930367,0.8045951859956236,0.30983050847457627
10,0.5,medium,433,35,1.077601788574573,2.9596032681812714,0.5745958429561201,0.2935593220338983
10,0.66,high,532,32,1.6908569987236217,5.644274176788041,0.3469924812030075,0.3606779661016949
10,0.66,low,548,32,0.36028874576862213,1.4744126510988753,0.8777372262773723,0.3715254237288136
10,0.66,medium,395,37,0.9935831439207136,2.7298439518067212,0.6189873417721519,0.2677966101694915
10,0.75,high,541,30,1.6709909732291812,5.5727433036725715,0.3724584103512015,0.36677966101694914
10,0.75,low,492,30,0.19794596879443022,1.2401648690515281,0.9341463414634147,0.3335593220338983
10,0.75,medium,442,35,0.8545211535816519,2.392482721646952,0.6678733031674208,0.29966101694915254
20,0.25,high,633,26,1.9971356621633243,7.636602066386012,0.3477093206951027,0.42915254237288136
20,0.25,low,383,26,0.7779566803204839,2.251546178046919,0.7237597911227154,0.25966101694915256
20,0.25,medium,459,29,1.323152868760401,3.8010275950125676,0.5248366013071896,0.3111864406779661
20,0.5,high,597,28,2.0394085175731242,8.142572789289286,0.3206867671691792,0.4047457627118644
20,0.5,low,410,26,0.6800048466018352,2.027945495022223,0.7645121951219512,0.27796610169491526
20,0.5,medium,468,32,1.2604352985544818,3.563291502138269,0.551068376068376,0.31728813559322033
20,0.66,high,561,27,1.9843423316627689,7.7303048148357725,0.33484848484848484,0.38033898305084746
20,0.66,low,494,26,0.49478770134180583,1.68677669337399,0.856578947368421,0.33491525423728813
20,0.66,medium,420,32,1.1489131722395383,3.1967369546021143,0.6094047619047619,0.2847457627118644
20,0.75,high,555,27,1.9281846627714716,7.342391244859558,0.3645945945945946,0.376271186440678
20,0.75,low,461,24,0.32449814224699053,1.4187631775095628,0.9033622559652928,0.31254237288135595
20,0.75,medium,459,35,1.0142362093190627,2.8025500754818133,0.6612200435729847,0.3111864406779661
