analysis,requested_k,ambiguity_stratum,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
location_ambiguity,5,high,0.25,recurrent,0.273963997791014,0.28663311643041467,0.4018911243102143,6135.630082807978,31,502
location_ambiguity,5,high,0.25,current_position_only_personal_retrieval,0.07485055872562983,0.1006870218286464,0.1903254932587887,7695.189734257775,31,502
location_ambiguity,5,high,0.25,geometric_retrieval,0.21213435129225036,0.2527951790848069,0.34791899287435524,6170.032349531399,31,502
location_ambiguity,5,high,0.25,most_frequent_personal_destination,0.2850408573252789,0.2905086503800784,0.42477520631047133,6542.556041210634,31,502
location_ambiguity,5,high,0.25,probabilistic_grid_pattern_retrieval,0.3085041104447398,0.3514345584694349,0.433005667542791,6157.714518869621,31,502
location_ambiguity,5,high,0.25,tsmini,0.19465144799808434,0.23398128934048326,0.34767734276828544,7813.126151851293,31,502
location_ambiguity,5,high,0.5,recurrent,0.2399854394809425,0.27871316706736576,0.39364373054730933,64040.760160406506,30,442
location_ambiguity,5,high,0.5,current_position_only_personal_retrieval,0.1254638097060178,0.1781963566948939,0.27651319238902156,67900.9618618456,30,442
location_ambiguity,5,high,0.5,geometric_retrieval,0.1876127138344356,0.20882663879836055,0.36776572524052464,69759.54969165342,30,442
location_ambiguity,5,high,0.5,most_frequent_personal_destination,0.19047815131980037,0.21444942411537143,0.32746820590721754,57428.441188823825,30,442
location_ambiguity,5,high,0.5,probabilistic_grid_pattern_retrieval,0.25621999328267614,0.2909046504129854,0.43778245513740693,69515.42358137153,30,442
location_ambiguity,5,high,0.5,tsmini,0.181519973284565,0.21003127408246458,0.36174091393425606,71446.75143811191,30,442
location_ambiguity,5,high,0.66,recurrent,0.28598925879285697,0.321266973860677,0.4294238846412759,88899.26717154034,29,407
location_ambiguity,5,high,0.66,current_position_only_personal_retrieval,0.15985544872351468,0.190055519215939,0.31107931467751554,89866.58338181712,29,407
location_ambiguity,5,high,0.66,geometric_retrieval,0.24950418496145635,0.29399770396771896,0.42959613851667827,88090.56659870382,29,407
location_ambiguity,5,high,0.66,most_frequent_personal_destination,0.31356918504594666,0.3516016488655169,0.45266158163459513,90731.02606004517,29,407
location_ambiguity,5,high,0.66,probabilistic_grid_pattern_retrieval,0.28966345042057184,0.32849670432129197,0.44959270394053,87837.07829736982,29,407
location_ambiguity,5,high,0.66,tsmini,0.27198857866024284,0.30813491025634954,0.4427445210353756,98389.21446499076,29,407
location_ambiguity,5,high,0.75,recurrent,0.1269455062007444,0.19384955280252103,0.3330683173952094,7221.053807727607,32,401
location_ambiguity,5,high,0.75,current_position_only_personal_retrieval,0.09533623178392833,0.19870891726740436,0.33407885421921135,6036.063664374616,32,401
location_ambiguity,5,high,0.75,geometric_retrieval,0.13088715329928657,0.2026687442632752,0.4062926192545609,6107.918384108731,32,401
location_ambiguity,5,high,0.75,most_frequent_personal_destination,0.1499315499982061,0.20865109605867108,0.29874111723356916,8069.435345987771,32,401
location_ambiguity,5,high,0.75,probabilistic_grid_pattern_retrieval,0.142892173352732,0.22590496732423943,0.38551357021640886,5536.906542657576,32,401
location_ambiguity,5,high,0.75,tsmini,0.13288260678219926,0.2035340328159438,0.37021727982897173,10746.145738097373,32,401
location_ambiguity,5,low,0.25,recurrent,0.5129728001811336,0.5465569438486105,0.687344274830386,1427.245874785175,36,387
location_ambiguity,5,low,0.25,current_position_only_personal_retrieval,0.5289232883677327,0.5685917763001096,0.696986639417195,1182.2961241367977,36,387
location_ambiguity,5,low,0.25,geometric_retrieval,0.5424527404388515,0.5846112183612183,0.7244674436341103,1122.1780490020687,36,387
location_ambiguity,5,low,0.25,most_frequent_personal_destination,0.45514353639353644,0.489765628723962,0.6091195858556969,2685.3166217593234,36,387
location_ambiguity,5,low,0.25,probabilistic_grid_pattern_retrieval,0.551019938589383,0.587982943260721,0.7156367875812321,1456.4381003372819,36,387
location_ambiguity,5,low,0.25,tsmini,0.4882252291974514,0.5273136926609149,0.6797718452579563,1771.960444432185,36,387
location_ambiguity,5,low,0.5,recurrent,0.565914303701189,0.6124166202035054,0.7141552533355812,1046.1150539657356,37,624
location_ambiguity,5,low,0.5,current_position_only_personal_retrieval,0.48337420001354425,0.5361372183503331,0.6729746236303614,1322.6842545776747,37,624
location_ambiguity,5,low,0.5,geometric_retrieval,0.5599029065422508,0.6067175277831016,0.732356665307485,849.5533260809078,37,624
location_ambiguity,5,low,0.5,most_frequent_personal_destination,0.3913946491815344,0.427779892288089,0.5329576653347144,2617.6831185759133,37,624
location_ambiguity,5,low,0.5,probabilistic_grid_pattern_retrieval,0.5835507084687412,0.6335810984991314,0.7357416113973491,734.4443829443113,37,624
location_ambiguity,5,low,0.5,tsmini,0.5284086540152113,0.5707690939166349,0.7093312367574663,1137.868716668406,37,624
location_ambiguity,5,low,0.66,recurrent,0.590248975969926,0.6434027013945249,0.7709563245693211,419.0819839977248,35,656
location_ambiguity,5,low,0.66,current_position_only_personal_retrieval,0.5796474368460262,0.6267629725012225,0.7770330896031906,326.66858361218283,35,656
location_ambiguity,5,low,0.66,geometric_retrieval,0.5571989734015269,0.6168106317365051,0.7607111268163405,359.60697061172124,35,656
location_ambiguity,5,low,0.66,most_frequent_personal_destination,0.43440934063599007,0.46124815962797355,0.5769990023592075,2579.7998359092853,35,656
location_ambiguity,5,low,0.66,probabilistic_grid_pattern_retrieval,0.6008392400892456,0.6513073677083955,0.7730177523894453,297.6537737365161,35,656
location_ambiguity,5,low,0.66,tsmini,0.5492251130399995,0.6022826368636738,0.7394084218374682,570.0281939247446,35,656
location_ambiguity,5,low,0.75,recurrent,0.5643114206865112,0.6136253962261596,0.7526007079447492,928.1651061124546,37,732
location_ambiguity,5,low,0.75,current_position_only_personal_retrieval,0.5761561733957277,0.6377730761911569,0.7582017848495692,680.7551466147657,37,732
location_ambiguity,5,low,0.75,geometric_retrieval,0.5412192542720503,0.5882868135237004,0.7545744770207303,845.661579184013,37,732
location_ambiguity,5,low,0.75,most_frequent_personal_destination,0.44940040060167796,0.4798763020091346,0.5891539724854423,2572.7014228603966,37,732
location_ambiguity,5,low,0.75,probabilistic_grid_pattern_retrieval,0.5677869014950171,0.6155855779838696,0.7620050969397005,741.8820954619761,37,732
location_ambiguity,5,low,0.75,tsmini,0.5185498014078728,0.5710632052686534,0.7273672589037051,1314.5969302882643,37,732
location_ambiguity,5,medium,0.25,recurrent,0.38181839133080514,0.4277748160455227,0.5164331093032963,2911.8298512877222,37,586
location_ambiguity,5,medium,0.25,current_position_only_personal_retrieval,0.288097531949717,0.35213727264778055,0.48308199165511556,2863.6762575414236,37,586
location_ambiguity,5,medium,0.25,geometric_retrieval,0.43003925307994095,0.4861215836921115,0.5964287079998829,1818.6771405750399,37,586
location_ambiguity,5,medium,0.25,most_frequent_personal_destination,0.36128664107469755,0.40430909107733504,0.499402018111837,29733.03763752522,37,586
location_ambiguity,5,medium,0.25,probabilistic_grid_pattern_retrieval,0.4451049690771747,0.5020796205816661,0.603989513918736,1447.1886889069458,37,586
location_ambiguity,5,medium,0.25,tsmini,0.368674047139013,0.41661416418778496,0.5380231536844714,2220.0991983595254,37,586
location_ambiguity,5,medium,0.5,recurrent,0.37919619004430766,0.42291677124510707,0.5466936227978623,3628.412719237407,36,409
location_ambiguity,5,medium,0.5,current_position_only_personal_retrieval,0.29482921862877715,0.3503592780902043,0.48307317285744733,3922.305971878225,36,409
location_ambiguity,5,medium,0.5,geometric_retrieval,0.3637706149262871,0.4321817454823868,0.5746843268384582,2799.224431868041,36,409
location_ambiguity,5,medium,0.5,most_frequent_personal_destination,0.3308721001010273,0.34839221668723586,0.45470563102684536,4021.1578904800026,36,409
location_ambiguity,5,medium,0.5,probabilistic_grid_pattern_retrieval,0.4131162772425474,0.4593284710403235,0.5852831077989332,2484.1472997432447,36,409
location_ambiguity,5,medium,0.5,tsmini,0.3471734441755681,0.4134655031427478,0.5462045781844216,3551.927645258002,36,409
location_ambiguity,5,medium,0.66,recurrent,0.35513507535086924,0.414747011533785,0.5404584701423044,2810.5734806244805,37,412
location_ambiguity,5,medium,0.66,current_position_only_personal_retrieval,0.2668504603080319,0.34677056123317906,0.5201855276569765,2888.8029977431434,37,412
location_ambiguity,5,medium,0.66,geometric_retrieval,0.3431629206727697,0.425353237345845,0.5943337401240991,2205.7603463597143,37,412
location_ambiguity,5,medium,0.66,most_frequent_personal_destination,0.2819934916284126,0.3115514813735344,0.3929394798872688,8047.889892898961,37,412
location_ambiguity,5,medium,0.66,probabilistic_grid_pattern_retrieval,0.37911595717248414,0.4450729969730899,0.5653436061928382,2345.9416641819325,37,412
location_ambiguity,5,medium,0.66,tsmini,0.3544992266681214,0.4342004187561047,0.5698926304832418,3060.5644347402704,37,412
location_ambiguity,5,medium,0.75,recurrent,0.3710409610107924,0.4206531555795087,0.5605746887934111,3023.3391145041455,35,342
location_ambiguity,5,medium,0.75,current_position_only_personal_retrieval,0.3525125308488219,0.40627795796828625,0.5578851787569623,2165.3198726600785,35,342
location_ambiguity,5,medium,0.75,geometric_retrieval,0.37438943019910187,0.43714880234622916,0.643701136436274,2501.068286789466,35,342
location_ambiguity,5,medium,0.75,most_frequent_personal_destination,0.28231221430644676,0.30146764824448946,0.400888621631745,12646.183822257837,35,342
location_ambiguity,5,medium,0.75,probabilistic_grid_pattern_retrieval,0.43629959978895205,0.4958644793538316,0.5932752949012932,2564.906986055063,35,342
location_ambiguity,5,medium,0.75,tsmini,0.35608602149107915,0.41515421406947584,0.5995323344702227,2811.3073018700316,35,342
location_ambiguity,10,high,0.25,recurrent,0.26577949997502764,0.27615153661667213,0.39433974498774016,8054.000464177364,30,586
location_ambiguity,10,high,0.25,current_position_only_personal_retrieval,0.16920649835994625,0.21937406227751016,0.3206209145130163,8228.578866647596,30,586
location_ambiguity,10,high,0.25,geometric_retrieval,0.26130263775945645,0.31903549132564335,0.408136089816526,7982.709894284134,30,586
location_ambiguity,10,high,0.25,most_frequent_personal_destination,0.29741098315040815,0.329988652394744,0.4649177601730477,8862.932491675494,30,586
location_ambiguity,10,high,0.25,probabilistic_grid_pattern_retrieval,0.32039480712591534,0.3887674049347876,0.48272105835748713,7755.961632519587,30,586
location_ambiguity,10,high,0.25,tsmini,0.22831045444523082,0.28491095779083225,0.39923175840911024,11059.528108103446,30,586
