ratio,destination_popularity_stratum,prefix_familiarity,cases,users
0.25,other_repeated,analogue_present,359,30
0.25,other_repeated,no_close_analogue,27,11
0.25,outside_training_r90,analogue_present,451,36
0.25,outside_training_r90,no_close_analogue,127,28
0.25,popular_modal,analogue_present,468,34
0.25,popular_modal,no_close_analogue,43,15
0.5,other_repeated,analogue_present,358,30
0.5,other_repeated,no_close_analogue,28,12
0.5,outside_training_r90,analogue_present,445,35
0.5,outside_training_r90,no_close_analogue,133,26
0.5,popular_modal,analogue_present,459,34
0.5,popular_modal,no_close_analogue,52,17
0.66,other_repeated,analogue_present,359,30
0.66,other_repeated,no_close_analogue,27,12
0.66,outside_training_r90,analogue_present,436,35
0.66,outside_training_r90,no_close_analogue,142,26
0.66,popular_modal,analogue_present,468,34
0.66,popular_modal,no_close_analogue,43,16
0.75,other_repeated,analogue_present,364,30
0.75,other_repeated,no_close_analogue,22,11
0.75,outside_training_r90,analogue_present,422,35
0.75,outside_training_r90,no_close_analogue,156,27
0.75,popular_modal,analogue_present,473,34
0.75,popular_modal,no_close_analogue,38,17
