method,ratio,user_macro_coverage_r90,user_macro_d200,user_macro_d1km,mean_user_median_error_m,mean_user_native_median_error_m,mean_user_p90_error_m,mean_user_native_p90_error_m
bigru,0.25,0.5967694556800925,0.4198144839539358,0.5272555575865078,2223.180299574088,2223.180299574088,51481.17767033223,51481.17767033223
bigru,0.5,0.5967694556800925,0.4729776244002357,0.5831396960029709,1459.2653512314223,1459.2653512314223,40410.44023315405,40410.44023315405
bigru,0.66,0.5967694556800925,0.4983255290217626,0.6160335159526329,1380.7830039520697,1380.7830039520697,33081.175099346365,33081.175099346365
bigru,0.75,0.5967694556800925,0.5062746560117035,0.627844302364749,1165.955978534298,1165.955978534298,32121.066556038953,32121.066556038953
current_position_only_personal_retrieval,0.25,0.5967694556800925,0.35935134274108343,0.4751392376074356,2153.3159622076464,2144.0480894367943,35615.04152538751,35617.515710254665
current_position_only_personal_retrieval,0.5,0.5967694556800925,0.39877286177804744,0.5286623717314817,2274.8671058076793,2276.015538885515,52057.38827871965,52054.63482900398
current_position_only_personal_retrieval,0.66,0.5967694556800925,0.47901489671740355,0.6090956527608551,1151.6483989641806,1153.6367835361743,28485.764790898713,28475.85973689741
current_position_only_personal_retrieval,0.75,0.5967694556800925,0.5099088500260149,0.6353536806261421,808.0517025174349,818.7153988193504,16598.381874372495,16597.386188856133
geometric_retrieval,0.25,0.5967694556800925,0.4472237398202511,0.5559651381076126,1461.521983538034,1471.2601633152042,41336.60665911173,41333.42716144499
geometric_retrieval,0.5,0.5967694556800925,0.45860140439210106,0.5936462462928166,1254.9151910793307,1260.2677726893805,30374.8433902185,30363.673770012498
geometric_retrieval,0.66,0.5967694556800925,0.48839947351114127,0.6302219226178317,1205.8141317304683,1214.5674277366927,24996.439127608126,24991.96083199291
geometric_retrieval,0.75,0.5967694556800925,0.5141852671587633,0.6556110170542151,1026.6189102335372,1044.8585536875191,50082.34815628091,50084.42331719813
last_observed_point,0.25,0.5967694556800925,0.10893946153913486,0.29566942470499946,4170.934760371571,4074.2082226523285,23066.902943334204,12657.012354933835
last_observed_point,0.5,0.5967694556800925,0.15717685190714106,0.3930233027134664,2645.842246624348,2897.4493588134983,17537.827815626977,11137.749988653373
last_observed_point,0.66,0.5967694556800925,0.24435447232419205,0.4887239887082102,2045.9858179303985,2143.0835554012374,16846.74689073637,9440.423250263766
last_observed_point,0.75,0.5967694556800925,0.33221488483455497,0.5685396929440932,1682.4322996220574,1678.649783200035,15244.164288757042,7789.487811265589
most_frequent_personal_destination,0.25,0.5967694556800925,0.3710773294297338,0.47772417684244833,3184.366407627081,3184.366407627081,95511.91220872964,95511.91220872964
most_frequent_personal_destination,0.5,0.5967694556800925,0.3710773294297338,0.47772417684244833,3184.366407627081,3184.366407627081,95511.91220872964,95511.91220872964
most_frequent_personal_destination,0.66,0.5967694556800925,0.3710773294297338,0.47772417684244833,3184.366407627081,3184.366407627081,95511.91220872964,95511.91220872964
most_frequent_personal_destination,0.75,0.5967694556800925,0.3710773294297338,0.47772417684244833,3184.366407627081,3184.366407627081,95511.91220872964,95511.91220872964
nearest_known_destination_to_current_point,0.25,0.5967694556800925,0.10893946153913486,0.29566942470499946,4170.934760371571,4170.934760371571,23066.902943334204,23066.902943334204
nearest_known_destination_to_current_point,0.5,0.5967694556800925,0.15717685190714106,0.3930233027134664,2645.842246624348,2645.842246624348,17537.827815626977,17537.827815626977
nearest_known_destination_to_current_point,0.66,0.5967694556800925,0.24435447232419205,0.4887239887082102,2045.9858179303985,2045.9858179303985,16846.74689073637,16846.74689073637
nearest_known_destination_to_current_point,0.75,0.5967694556800925,0.33221488483455497,0.5685396929440932,1682.4322996220574,1682.4322996220574,15244.164288757042,15244.164288757042
probabilistic_grid_pattern_retrieval,0.25,0.5967694556800925,0.4835639469805585,0.5831232417100684,1151.3464694990387,1151.3464694990387,40080.52458007305,40080.52458007305
probabilistic_grid_pattern_retrieval,0.5,0.5967694556800925,0.4885765017530263,0.6089495298166003,976.2976049866592,976.2976049866592,24950.5397077398,24950.5397077398
probabilistic_grid_pattern_retrieval,0.66,0.5967694556800925,0.5114218556662682,0.6277937068524052,848.6766947658965,848.6766947658965,24331.784228019522,24331.784228019522
probabilistic_grid_pattern_retrieval,0.75,0.5967694556800925,0.5242831197616973,0.6443145608143208,750.0903826899628,750.0903826899628,24549.34907027561,24549.34907027561
tsmini,0.25,0.5967694556800925,0.4046766849554028,0.5236699388366475,2225.973679625107,2230.506166762779,59785.25311902933,59781.73449592194
tsmini,0.5,0.5967694556800925,0.44711185690961996,0.5781872402932089,2019.7173983841676,2023.5670112529194,49576.84710234622,49580.119656323295
tsmini,0.66,0.5967694556800925,0.48357447928388547,0.6162439654953591,1579.2543188835873,1587.7124087046275,55224.7463112035,55224.510386931426
tsmini,0.75,0.5967694556800925,0.49600212540699745,0.6337174239659625,1290.5565850391058,1300.2788913316747,49490.21148045347,49489.37340601516
