quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
rate|geometric_retrieval|0.25,0.34691480740430036,0.270624273630053,0.4260617355896836,0.2717781090362891,0.42716268280003955
rate|geometric_retrieval|0.50,0.3634011625961402,0.28144145138359006,0.4461829657086136,0.283704393360088,0.44540227354939504
rate|geometric_retrieval|0.66,0.3724680692653887,0.2902550570885718,0.45677986262514425,0.2921579479268833,0.45509995522683344
rate|geometric_retrieval|0.75,0.39086933179057787,0.3032174205579183,0.47962207928600586,0.3064547885554494,0.47870716370799055
primary_mean_rate|geometric_retrieval,0.36841334276410187,0.28825109120336906,0.4504475693922258,0.2901970629213354,0.44983869809628535
change75_25|geometric_retrieval,0.043954524386277526,0.0073847338525623194,0.0811677966637667,0.0076335525610301885,0.08143247434621892
rate|probabilistic_grid_pattern_retrieval|0.25,0.39809148017313056,0.3191492649323304,0.47829580431948066,0.3207881380696931,0.47960724851978326
rate|probabilistic_grid_pattern_retrieval|0.50,0.4022929627928739,0.32036572876616365,0.48512561757141337,0.32106894968312827,0.48496400548824553
rate|probabilistic_grid_pattern_retrieval|0.66,0.4154550858737766,0.33298742641697676,0.4987850490989155,0.3345304750233508,0.49952686599683
rate|probabilistic_grid_pattern_retrieval|0.75,0.42059645142699353,0.33496693531897326,0.5056704103701328,0.3359398488705696,0.5043545538249893
primary_mean_rate|probabilistic_grid_pattern_retrieval,0.4091089950666937,0.32810429074018355,0.49021384220906916,0.3300148024809902,0.4904274972004281
change75_25|probabilistic_grid_pattern_retrieval,0.022504971253863054,-0.013495449615213966,0.055730713194242845,-0.013099761623505771,0.0554163510533613
rate|tsmini|0.25,0.3365916718956744,0.2629887932769492,0.41037285413466573,0.2642601496838262,0.41103277887971035
rate|tsmini|0.50,0.35260258129191197,0.27403295188837673,0.43281746410586097,0.2749486602912528,0.43281746410586097
rate|tsmini|0.66,0.3687216518683296,0.28755640826798917,0.4500971366553575,0.28938814306024396,0.4504732995409717
rate|tsmini|0.75,0.38163621604027786,0.30067879930733943,0.4627726639993638,0.3015304326061328,0.46278452145081767
primary_mean_rate|tsmini,0.3598880302740485,0.2821778123772904,0.43823878474900135,0.28327672012387234,0.4391754081772183
change75_25|tsmini,0.04504454414460338,0.021470745386042597,0.07029714191796153,0.02152756556554471,0.07021156661382565
rate|recurrent|0.25,0.37299995213279497,0.29716298561921173,0.44783619775658234,0.2985120971014347,0.4474849481847307
rate|recurrent|0.50,0.3967458479115082,0.3178688306229076,0.47578846214249,0.3205617147348636,0.47506486554776556
rate|recurrent|0.66,0.40130173327787594,0.32343097139238064,0.4797184943761563,0.3263779574765816,0.47894559120327046
rate|recurrent|0.75,0.410323302248126,0.3313852124094376,0.48885917407744944,0.3336374562410338,0.48887646127249756
primary_mean_rate|recurrent,0.3953427088925762,0.3182799810521758,0.4720976360107773,0.3204963064834453,0.4718049037241343
change75_25|recurrent,0.03732335011533113,0.016081236189804376,0.05971467931498412,0.016949601300966555,0.05941289250609681
rate|most_frequent_personal_destination|0.25,0.3381120645862249,0.2787460961992211,0.39833357793391017,0.27923857900501814,0.3972778947466713
rate|most_frequent_personal_destination|0.50,0.3381120645862249,0.2787460961992211,0.39833357793391017,0.27923857900501814,0.3972778947466713
rate|most_frequent_personal_destination|0.66,0.3381120645862249,0.2787460961992211,0.39833357793391017,0.27923857900501814,0.3972778947466713
rate|most_frequent_personal_destination|0.75,0.3381120645862249,0.2787460961992211,0.39833357793391017,0.27923857900501814,0.3972778947466713
primary_mean_rate|most_frequent_personal_destination,0.3381120645862249,0.2787460961992211,0.39833357793391017,0.27923857900501814,0.3972778947466713
change75_25|most_frequent_personal_destination,0.0,0.0,0.0,0.0,0.0
rate|nearest_known_destination_to_current_point|0.25,0.05782910356287787,0.03236701200937828,0.08746266492443626,0.03198866964202369,0.08654641841270361
rate|nearest_known_destination_to_current_point|0.50,0.11663184673296886,0.06222528591770954,0.1843268246437752,0.06142935470903443,0.1827755233835462
rate|nearest_known_destination_to_current_point|0.66,0.18168950518848917,0.10942382680978957,0.267373207130543,0.10859856745505965,0.2669221753274185
rate|nearest_known_destination_to_current_point|0.75,0.21528798911477035,0.13636080651638102,0.3056340077396823,0.1361288928310231,0.3051937227406321
primary_mean_rate|nearest_known_destination_to_current_point,0.14285961114977655,0.08939675658827774,0.20628194417873782,0.08892411029255108,0.20463828560106165
change75_25|nearest_known_destination_to_current_point,0.15745888555189244,0.09050443731239248,0.2328582840769286,0.0892827690151915,0.23297656121980428
rate|last_observed_point|0.25,0.05782910356287787,0.03236701200937828,0.08746266492443626,0.03198866964202369,0.08654641841270361
rate|last_observed_point|0.50,0.11663184673296886,0.06222528591770954,0.1843268246437752,0.06142935470903443,0.1827755233835462
rate|last_observed_point|0.66,0.18168950518848917,0.10942382680978957,0.267373207130543,0.10859856745505965,0.2669221753274185
rate|last_observed_point|0.75,0.21528798911477035,0.13636080651638102,0.3056340077396823,0.1361288928310231,0.3051937227406321
primary_mean_rate|last_observed_point,0.14285961114977655,0.08939675658827774,0.20628194417873782,0.08892411029255108,0.20463828560106165
change75_25|last_observed_point,0.15745888555189244,0.09050443731239248,0.2328582840769286,0.0892827690151915,0.23297656121980428
rate|current_position_only_personal_retrieval|0.25,0.30625763547726603,0.23111377244440667,0.38516902846556744,0.2324617503123526,0.38471890306432355
