config_id,cell_size_m,emission_sigma_cells,posterior_top_k,macro_hit_r90,macro_within_1000m,macro_user_median_error_m
cell800_sigma2.5_top10,800.0,2.5,10.0,0.44432424885453214,0.6173467292216561,12019.062231309608
cell800_sigma2.5_top20,800.0,2.5,20.0,0.4429610439518857,0.6118787223831234,12043.316390797974
cell400_sigma1.5_top20,400.0,1.5,20.0,0.4377775929922657,0.6170112021896157,11905.906602750158
cell200_sigma2.5_top20,200.0,2.5,20.0,0.4366219244497291,0.6173263015330683,11667.935602908692
cell400_sigma2.5_top20,400.0,2.5,20.0,0.4355451127853336,0.6131796496925129,11900.349851674264
cell800_sigma1.5_top20,800.0,1.5,20.0,0.43517507038610603,0.6113015794786124,11946.088463768416
cell200_sigma2.5_top10,200.0,2.5,10.0,0.434866093891315,0.6166753911689226,11641.279385543561
cell400_sigma1_top20,400.0,1.0,20.0,0.43382053313406244,0.6167150700366995,11866.69232202351
cell400_sigma2.5_top10,400.0,2.5,10.0,0.43355754247452183,0.6171334357850495,11843.487677327937
cell400_sigma1.5_top10,400.0,1.5,10.0,0.43314806099674896,0.6172173028046575,11882.760365623079
cell800_sigma2.5_top5,800.0,2.5,5.0,0.4326105645706268,0.6152645542389282,11880.067671674613
cell800_sigma1.5_top10,800.0,1.5,10.0,0.4321415099530448,0.614524542002279,11932.04961731957
cell400_sigma1_top10,400.0,1.0,10.0,0.4307523363754129,0.6156614380675405,11870.928891786067
cell200_sigma2.5_top5,200.0,2.5,5.0,0.43028986700907806,0.6131322122080315,11640.682943391026
cell800_sigma1_top20,800.0,1.0,20.0,0.4295390699030015,0.6088332331231133,11970.056835966463
cell400_sigma2.5_top5,400.0,2.5,5.0,0.4293901813066202,0.6179392321818693,11850.59048415566
cell800_sigma1_top10,800.0,1.0,10.0,0.42808528199414325,0.6112760169544068,11978.055602185304
cell400_sigma1.5_top5,400.0,1.5,5.0,0.42721008194167026,0.6171928491901518,11894.360310372098
cell200_sigma1.5_top20,200.0,1.5,20.0,0.42689534299010196,0.6096530360131855,11689.555376495724
cell200_sigma1.5_top10,200.0,1.5,10.0,0.426088323300129,0.6110021934793898,11685.180911621723
cell400_sigma1_top5,400.0,1.0,5.0,0.42472673902777397,0.6126172045486431,11927.46476830679
cell200_sigma1.5_top5,200.0,1.5,5.0,0.4245810014517451,0.6105025219005918,11709.219167979832
cell800_sigma1.5_top5,800.0,1.5,5.0,0.42339618670142165,0.608925417322221,11924.789163638128
cell800_sigma1_top5,800.0,1.0,5.0,0.42130212741616013,0.609594118164674,11918.754400195285
cell200_sigma1_top20,200.0,1.0,20.0,0.41605906856356073,0.6067549417123896,11691.966143575992
cell200_sigma1_top10,200.0,1.0,10.0,0.4156085712615303,0.6065908601223068,11693.791832226301
cell200_sigma1_top5,200.0,1.0,5.0,0.4142485630638059,0.6072861959294739,11695.885075206317
