user_id,fit,test,validation,total
1,41,18,10,69
2,98,41,25,164
3,187,79,47,313
10,91,39,23,153
12,45,19,11,75
14,158,67,40,265
15,38,17,10,65
18,26,11,7,44
22,84,35,21,140
30,170,72,43,285
34,113,47,28,188
41,314,131,79,524
42,81,34,20,135
43,25,11,6,42
44,38,16,10,64
50,26,12,7,45
67,69,29,17,115
73,42,18,10,70
74,50,22,13,85
78,50,22,13,85
82,54,23,13,90
84,123,52,31,206
104,66,28,16,110
115,103,43,26,172
125,32,14,8,54
140,211,89,53,353
142,91,39,23,153
155,24,10,6,40
167,224,94,56,374
174,38,17,10,65
