quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
rate|geometric_retrieval|0.25,0.39569413141972054,0.3334430592874807,0.461313520095785,0.3336292225211944,0.4604550860210625
rate|geometric_retrieval|0.50,0.4041737944190109,0.3405814657655791,0.469380212912167,0.3400527579234906,0.46905826589683597
rate|geometric_retrieval|0.66,0.4278922200237338,0.3619517434777445,0.49616702272508223,0.3619505358883356,0.4959389578930918
rate|geometric_retrieval|0.75,0.4524355138291368,0.3865119365305865,0.5204347433823956,0.38631962431403455,0.5196657305243875
primary_mean_rate|geometric_retrieval,0.42004891492290053,0.3584615407714995,0.4845243968930295,0.3588628491081799,0.48352043307280373
change75_25|geometric_retrieval,0.056741382409416244,0.018335398459204066,0.09747636128267693,0.01829572611012004,0.09747768304853512
rate|probabilistic_grid_pattern_retrieval|0.25,0.4263561235530953,0.3598182063107802,0.49541967367595596,0.3606107907512278,0.49460899369055755
rate|probabilistic_grid_pattern_retrieval|0.50,0.43405179427456075,0.3689225778872503,0.5021059410621553,0.36850413272781973,0.5016579355973526
rate|probabilistic_grid_pattern_retrieval|0.66,0.4561300785490783,0.39056433398003876,0.5239349121768129,0.3900235326939242,0.5228606569717402
rate|probabilistic_grid_pattern_retrieval|0.75,0.4671881882112758,0.40306419938252963,0.5329663254724424,0.4022272488747433,0.5326460336086672
primary_mean_rate|probabilistic_grid_pattern_retrieval,0.4459315461470026,0.3836977842217925,0.5115675234654443,0.38322381136228867,0.510773038493814
change75_25|probabilistic_grid_pattern_retrieval,0.04083206465818053,0.008481309145623844,0.07716165954661693,0.008249325632673877,0.07572888221026365
rate|tsmini|0.25,0.35614606425312284,0.2923509973907217,0.42238269272969775,0.293590513605888,0.4215959332932617
rate|tsmini|0.50,0.3951508051234988,0.3338952574933864,0.4597514409292855,0.33408930708045914,0.4594939866401589
rate|tsmini|0.66,0.42689301596941714,0.3649084622908967,0.4909881732111589,0.36484359362519614,0.4906492735251343
rate|tsmini|0.75,0.4373982671956508,0.375480128734728,0.5020082221115377,0.3747164236535265,0.5020112087792707
primary_mean_rate|tsmini,0.4038970381354224,0.34313317353827405,0.46733550040403105,0.3439286762849727,0.467221365686896
change75_25|tsmini,0.08125220294252794,0.053572705772429584,0.11049240367324141,0.05336969128743042,0.10932912436934958
rate|recurrent|0.25,0.3805281117025696,0.3155210632405751,0.45006967561436684,0.3153118754259283,0.45045567321059504
rate|recurrent|0.50,0.4245849596652901,0.36101056354170824,0.49122041104262637,0.3615156528307339,0.49115667994704565
rate|recurrent|0.66,0.44543395947928655,0.38355530771608304,0.5091237185492099,0.3832933964996184,0.5086895488579883
rate|recurrent|0.75,0.45204447260482367,0.38929353606180445,0.5176155836783768,0.3894100154425176,0.5170459893166302
primary_mean_rate|recurrent,0.42564787586299246,0.3645353095889196,0.4896387250074603,0.36426628988364496,0.48947263307570155
change75_25|recurrent,0.07151636090225409,0.03711062689845452,0.11034409588850322,0.03703771038776313,0.10954944888058747
rate|most_frequent_personal_destination|0.25,0.339422781974808,0.274903222216965,0.40267426040948157,0.2759047531435424,0.40221757074580716
rate|most_frequent_personal_destination|0.50,0.339422781974808,0.274903222216965,0.40267426040948157,0.2759047531435424,0.40221757074580716
rate|most_frequent_personal_destination|0.66,0.339422781974808,0.274903222216965,0.40267426040948157,0.2759047531435424,0.40221757074580716
rate|most_frequent_personal_destination|0.75,0.339422781974808,0.274903222216965,0.40267426040948157,0.2759047531435424,0.40221757074580716
primary_mean_rate|most_frequent_personal_destination,0.339422781974808,0.274903222216965,0.40267426040948157,0.2759047531435424,0.40221757074580716
change75_25|most_frequent_personal_destination,0.0,0.0,0.0,0.0,0.0
rate|nearest_known_destination_to_current_point|0.25,0.08951717483463105,0.060513084358825076,0.12195527709093923,0.06099803900183644,0.12170863422357978
rate|nearest_known_destination_to_current_point|0.50,0.1341420239613118,0.09576594192629073,0.175993701198527,0.09621444121614084,0.1762593154400911
rate|nearest_known_destination_to_current_point|0.66,0.19397665186725024,0.14497847435524835,0.2465917626861745,0.14576997778664563,0.2468599205756129
rate|nearest_known_destination_to_current_point|0.75,0.26631673394847794,0.21042964193954336,0.32391857369499455,0.2110104191434987,0.3235697038087102
primary_mean_rate|nearest_known_destination_to_current_point,0.17098814615291777,0.1334810057211895,0.21077832094867108,0.13411416409901764,0.21041904253833815
change75_25|nearest_known_destination_to_current_point,0.17679955911384693,0.1246694897641062,0.2322799233436613,0.12477915222530647,0.23291628276181392
rate|last_observed_point|0.25,0.08951717483463105,0.060513084358825076,0.12195527709093923,0.06099803900183644,0.12170863422357978
rate|last_observed_point|0.50,0.1341420239613118,0.09576594192629073,0.175993701198527,0.09621444121614084,0.1762593154400911
rate|last_observed_point|0.66,0.19397665186725024,0.14497847435524835,0.2465917626861745,0.14576997778664563,0.2468599205756129
rate|last_observed_point|0.75,0.26631673394847794,0.21042964193954336,0.32391857369499455,0.2110104191434987,0.3235697038087102
primary_mean_rate|last_observed_point,0.17098814615291777,0.1334810057211895,0.21077832094867108,0.13411416409901764,0.21041904253833815
change75_25|last_observed_point,0.17679955911384693,0.1246694897641062,0.2322799233436613,0.12477915222530647,0.23291628276181392
rate|current_position_only_personal_retrieval|0.25,0.31010933333772384,0.2554810016284124,0.36820367946692717,0.254870075653935,0.36832655009954063
rate|current_position_only_personal_retrieval|0.50,0.346727161693546,0.28727668021603087,0.4096268547289398,0.2870156968333045,0.40831779131956264
rate|current_position_only_personal_retrieval|0.66,0.4246130256932403,0.361234608425861,0.48957319411084665,0.3611296186149193,0.4894141806982211
rate|current_position_only_personal_retrieval|0.75,0.4425015957831391,0.37409613076878484,0.5122221099393259,0.37363552735229877,0.5111738054504198
primary_mean_rate|current_position_only_personal_retrieval,0.38098777912691223,0.326087377724655,0.43840617964948336,0.32502503814028727,0.4382018722285283
change75_25|current_position_only_personal_retrieval,0.1323922624454153,0.08208261098600479,0.18401121827958195,0.08216380590257505,0.1846340474465506
difference|geometric_retrieval|probabilistic_grid_pattern_retrieval|0.25,-0.03066199213337469,-0.07038829812085641,0.01047825347479035,-0.07017809999645624,0.009660839724506735
difference|geometric_retrieval|probabilistic_grid_pattern_retrieval|0.50,-0.029877999855549887,-0.06919169418263797,0.010268439249567694,-0.0682891142284111,0.009260424695107702
difference|geometric_retrieval|probabilistic_grid_pattern_retrieval|0.66,-0.028237858525344467,-0.06217697195451772,0.005588041924640533,-0.06193533011594861,0.005569730235111421
difference|geometric_retrieval|probabilistic_grid_pattern_retrieval|0.75,-0.014752674382138974,-0.04851062142687907,0.024112167776994764,-0.04927687510871273,0.024416162861606687
primary_mean_difference|geometric_retrieval|probabilistic_grid_pattern_retrieval,-0.025882631224102004,-0.054904402081444814,0.004462252468750053,-0.055052518469251494,0.00469509573000216
interaction75_25|geometric_retrieval|probabilistic_grid_pattern_retrieval,0.01590931775123572,-0.032253398754775245,0.06419037280006974,-0.03208410497767144,0.06484919076774216
difference|geometric_retrieval|tsmini|0.25,0.03954806716659774,0.01717315529262579,0.06270349472665109,0.017783479850089243,0.062133268528496016
difference|geometric_retrieval|tsmini|0.50,0.009022989295512167,-0.014651413606515649,0.03339974336502926,-0.014642750644944868,0.03302535062351502
difference|geometric_retrieval|tsmini|0.66,0.0009992040543166179,-0.0220342570534952,0.022498826334839635,-0.021668770847125058,0.022535349440994033
difference|geometric_retrieval|tsmini|0.75,0.015037246633486052,-0.004748958112903752,0.03619396949993045,-0.004856340243805745,0.03676708199601332
primary_mean_difference|geometric_retrieval|tsmini,0.016151876787478144,0.0008517683509638469,0.03196803613642509,0.001096514892071775,0.03164201385178388
interaction75_25|geometric_retrieval|tsmini,-0.024510820533111696,-0.051200718019751186,0.002579687476921296,-0.05120071801975119,0.002911548822347838
difference|geometric_retrieval|recurrent|0.25,0.015166019717150968,-0.029242292266572562,0.05879877983854489,-0.028853678176496114,0.05847373900299898
difference|geometric_retrieval|recurrent|0.50,-0.02041116524627905,-0.05952821956175234,0.017306114835259078,-0.05980462629446846,0.01707210955884411
difference|geometric_retrieval|recurrent|0.66,-0.017541739455552804,-0.05299798642469892,0.016334373307540985,-0.052443590095314706,0.01601254547362946
difference|geometric_retrieval|recurrent|0.75,0.00039104122431311833,-0.03147958075467521,0.03375909408470325,-0.03147958075467521,0.03439150803167816
primary_mean_difference|geometric_retrieval|recurrent,-0.005598960940091942,-0.03683404343627678,0.025264974971853777,-0.03700756869356919,0.024909500575179037
interaction75_25|geometric_retrieval|recurrent,-0.014774978492837848,-0.05822546549934758,0.027775111920042974,-0.057454403895353744,0.028073364439585646
difference|geometric_retrieval|most_frequent_personal_destination|0.25,0.05627134944491257,-0.01091969480807908,0.12644650560432333,-0.010640586187003316,0.12547077569458834
difference|geometric_retrieval|most_frequent_personal_destination|0.50,0.06475101244420298,-0.009369015713029847,0.14279280054757568,-0.009897438551016404,0.1418504598221958
difference|geometric_retrieval|most_frequent_personal_destination|0.66,0.08846943804892574,0.013770351379937498,0.16780998666502606,0.014013783800670544,0.16690998775743585
difference|geometric_retrieval|most_frequent_personal_destination|0.75,0.11301273185432881,0.0426557045714085,0.19136698015779002,0.042972764418068854,0.19148268672527136
primary_mean_difference|geometric_retrieval|most_frequent_personal_destination,0.08062613294809252,0.011517586150650109,0.15490741691039842,0.011352737555988783,0.15400315729253944
interaction75_25|geometric_retrieval|most_frequent_personal_destination,0.056741382409416244,0.018335398459204066,0.09747636128267693,0.01829572611012004,0.09747768304853512
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.25,0.30617695658508953,0.23412300691735738,0.38059288214248116,0.23586114025723906,0.38071100341081104
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.50,0.27003177045769916,0.19859372660784977,0.34542422973322573,0.19887036497981586,0.34559694698816934
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.66,0.2339155681564835,0.15946200853638387,0.3147269709437944,0.1599677799011629,0.3162695608055512
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.75,0.1861187798806588,0.1222406770882443,0.2552039401885249,0.12340680220658011,0.25686502158011215
primary_mean_difference|geometric_retrieval|nearest_known_destination_to_current_point,0.24906076876998276,0.1851872512244389,0.31860636341292997,0.18541400862819804,0.3188197027901411
interaction75_25|geometric_retrieval|nearest_known_destination_to_current_point,-0.12005817670443071,-0.17972774768320507,-0.06081522219617653,-0.1793242468009526,-0.06075407578601061
difference|geometric_retrieval|last_observed_point|0.25,0.30617695658508953,0.23412300691735738,0.38059288214248116,0.23586114025723906,0.38071100341081104
difference|geometric_retrieval|last_observed_point|0.50,0.27003177045769916,0.19859372660784977,0.34542422973322573,0.19887036497981586,0.34559694698816934
difference|geometric_retrieval|last_observed_point|0.66,0.2339155681564835,0.15946200853638387,0.3147269709437944,0.1599677799011629,0.3162695608055512
difference|geometric_retrieval|last_observed_point|0.75,0.1861187798806588,0.1222406770882443,0.2552039401885249,0.12340680220658011,0.25686502158011215
primary_mean_difference|geometric_retrieval|last_observed_point,0.24906076876998276,0.1851872512244389,0.31860636341292997,0.18541400862819804,0.3188197027901411
interaction75_25|geometric_retrieval|last_observed_point,-0.12005817670443071,-0.17972774768320507,-0.06081522219617653,-0.1793242468009526,-0.06075407578601061
difference|geometric_retrieval|current_position_only_personal_retrieval|0.25,0.08558479808199682,0.04540580752895627,0.12803363341442606,0.046884010217107294,0.12796025457024227
difference|geometric_retrieval|current_position_only_personal_retrieval|0.50,0.05744663272546498,0.013762027870659907,0.10257182501222939,0.014189076417715265,0.10124565142415659
difference|geometric_retrieval|current_position_only_personal_retrieval|0.66,0.003279194330493509,-0.03320373224240644,0.040377375574309766,-0.03228891771549328,0.04015798758886254
difference|geometric_retrieval|current_position_only_personal_retrieval|0.75,0.009933918045997752,-0.022839095107079474,0.044587789095322135,-0.022168721467357363,0.04431482589942373
primary_mean_difference|geometric_retrieval|current_position_only_personal_retrieval,0.03906113579598826,0.016876212542404075,0.062286045168253666,0.017146046858300484,0.06207356788502737
interaction75_25|geometric_retrieval|current_position_only_personal_retrieval,-0.07565088003599904,-0.13088566696075576,-0.01820998595725639,-0.12990700946605768,-0.01979958980091323
difference|probabilistic_grid_pattern_retrieval|tsmini|0.25,0.07021005929997243,0.034443546634378076,0.10581580906091219,0.03502562709088835,0.10594193496199383
difference|probabilistic_grid_pattern_retrieval|tsmini|0.50,0.03890098915106205,0.004750458556509449,0.0727831790535954,0.004748318571176726,0.07342463137142119
difference|probabilistic_grid_pattern_retrieval|tsmini|0.66,0.029237062579661084,0.0024221457668174443,0.05480733984855125,0.002293262284089329,0.05480733984855125
difference|probabilistic_grid_pattern_retrieval|tsmini|0.75,0.029789921015625026,0.0002192380601194177,0.05693624325328931,6.835039473797501e-05,0.05736892194417842
primary_mean_difference|probabilistic_grid_pattern_retrieval|tsmini,0.042034508011580145,0.01668627534574331,0.0670514174619945,0.0165051706505086,0.06754406163854645
interaction75_25|probabilistic_grid_pattern_retrieval|tsmini,-0.04042013828434741,-0.07864760984694338,-0.0017429367538641515,-0.07858374497203309,-0.0021946777078295683
difference|probabilistic_grid_pattern_retrieval|recurrent|0.25,0.04582801185052566,0.007522471814285669,0.08710891869552537,0.007986320029619434,0.08722677463726504
difference|probabilistic_grid_pattern_retrieval|recurrent|0.50,0.00946683460927083,-0.02147316389883385,0.039942982198960426,-0.02157388768669371,0.040424474356931944
difference|probabilistic_grid_pattern_retrieval|recurrent|0.66,0.010696119069791668,-0.014095579584442021,0.03668648685771114,-0.013973044783001863,0.03668048735104373
difference|probabilistic_grid_pattern_retrieval|recurrent|0.75,0.015143715606452094,-0.010683676027409644,0.040599961043691,-0.01047929169093732,0.0403784884438601
primary_mean_difference|probabilistic_grid_pattern_retrieval|recurrent,0.020283670284010062,-0.002639143918223738,0.044289461875250874,-0.002271793081250893,0.0442914196700203
interaction75_25|probabilistic_grid_pattern_retrieval|recurrent,-0.030684296244073567,-0.07269990889800466,0.009763780730838065,-0.07272106004789676,0.009174480704296401
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.25,0.08693334157828726,0.029738484680675078,0.1463237456865502,0.029294980075085214,0.14518836710680547
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.50,0.09462901229975287,0.03293211658360417,0.16065915571341685,0.0323057869034296,0.16028846830147872
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.66,0.1167072965742702,0.053524112280636735,0.18399213149950328,0.053328234417076646,0.1832749424561933
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.75,0.1277654062364678,0.06729325120138455,0.193600704718991,0.06671940195039236,0.19311718148739054
primary_mean_difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination,0.10650876417219451,0.048125007156891914,0.1688732663616203,0.04781170531515887,0.16835961029493807
interaction75_25|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination,0.04083206465818053,0.008481309145623844,0.07716165954661693,0.008249325632673877,0.07572888221026365
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.25,0.33683894871846426,0.26390001922566086,0.41441634472252503,0.265177908770367,0.4158924974797742
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.50,0.29990977031324906,0.22221169205575222,0.37818945578282925,0.22192582909396535,0.3784903448064661
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.66,0.26215342668182795,0.1854289051211168,0.34287202792752025,0.1862387226787311,0.34381676612607837
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.75,0.20087145426279782,0.13120219049906132,0.27265813673844286,0.13120219049906132,0.2734389364533119
primary_mean_difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point,0.27494339999408474,0.20588503543866488,0.3468142668822006,0.20651086206910707,0.347949921222786
interaction75_25|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point,-0.13596749445566642,-0.1957195223560388,-0.07950733940651335,-0.19634470184935018,-0.08047640527419422
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.25,0.33683894871846426,0.26390001922566086,0.41441634472252503,0.265177908770367,0.4158924974797742
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.50,0.29990977031324906,0.22221169205575222,0.37818945578282925,0.22192582909396535,0.3784903448064661
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.66,0.26215342668182795,0.1854289051211168,0.34287202792752025,0.1862387226787311,0.34381676612607837
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.75,0.20087145426279782,0.13120219049906132,0.27265813673844286,0.13120219049906132,0.2734389364533119
primary_mean_difference|probabilistic_grid_pattern_retrieval|last_observed_point,0.27494339999408474,0.20588503543866488,0.3468142668822006,0.20651086206910707,0.347949921222786
interaction75_25|probabilistic_grid_pattern_retrieval|last_observed_point,-0.13596749445566642,-0.1957195223560388,-0.07950733940651335,-0.19634470184935018,-0.08047640527419422
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.25,0.11624679021537149,0.06957274892146173,0.16387420218285378,0.07074904311175367,0.1633847827528457
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.50,0.08732463258101486,0.038827156427057835,0.13677713611269404,0.038024987193341846,0.1374050840177199
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.66,0.03151705285583798,-0.008245311092403722,0.07113828536803002,-0.008425701080618764,0.07081756391900625
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.75,0.024686592428136728,-0.022066859057894548,0.0677721995684651,-0.02249975225932359,0.0678681223068731
primary_mean_difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval,0.06494376702009028,0.032217095630341204,0.09673512118185985,0.03290918444066214,0.09622184338650165
interaction75_25|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval,-0.09156019778723477,-0.14891466872719997,-0.03441289274790867,-0.15022937268808292,-0.0355025378544977
difference|tsmini|recurrent|0.25,-0.024382047449446775,-0.06524373626993246,0.015608247573530624,-0.0655855072015128,0.01608976356171648
difference|tsmini|recurrent|0.50,-0.02943415454179122,-0.06072132575923956,0.0003630028290700688,-0.06176373116213367,0.0003962282833253803
difference|tsmini|recurrent|0.66,-0.018540943509869415,-0.0457996969703919,0.008720130747559647,-0.04610560297130835,0.008720844227087278
difference|tsmini|recurrent|0.75,-0.014646205409172932,-0.04174573103787478,0.013645383158816565,-0.04187787747588282,0.013791698598301223
primary_mean_difference|tsmini|recurrent,-0.021750837727570086,-0.04929704938805155,0.0048624127850438225,-0.04958103958406116,0.00500794332713911
interaction75_25|tsmini|recurrent,0.009735842040273843,-0.02703765303122469,0.045541865699111894,-0.026279975499612206,0.04490294386387553
difference|tsmini|most_frequent_personal_destination|0.25,0.016723282278314825,-0.04929224933742563,0.08499379980606087,-0.049497133795465525,0.08497434732149642
difference|tsmini|most_frequent_personal_destination|0.50,0.055728023148690804,-0.009584381069727083,0.12434536883560236,-0.009963800677228131,0.12391983949637987
difference|tsmini|most_frequent_personal_destination|0.66,0.08747023399460911,0.022440445974554815,0.15885175265940618,0.02154313605352958,0.158795862135627
difference|tsmini|most_frequent_personal_destination|0.75,0.09797548522084276,0.033376937602058565,0.16838659361838015,0.03295422803650008,0.16873235373994136
primary_mean_difference|tsmini|most_frequent_personal_destination,0.06447425616061438,0.0004828310561102916,0.13274646060179807,-0.0005417413422118617,0.132380707561125
interaction75_25|tsmini|most_frequent_personal_destination,0.08125220294252794,0.053572705772429584,0.11049240367324141,0.05336969128743042,0.10932912436934958
difference|tsmini|nearest_known_destination_to_current_point|0.25,0.2666288894184918,0.19381670693306605,0.3430451400503184,0.19549735740682087,0.34377936147199073
difference|tsmini|nearest_known_destination_to_current_point|0.50,0.261008781162187,0.19152568135069084,0.33738090470838883,0.19185262707164785,0.3385316433058713
difference|tsmini|nearest_known_destination_to_current_point|0.66,0.23291636410216687,0.16018347104532485,0.31175579889575705,0.16032904149988841,0.31430061025730816
difference|tsmini|nearest_known_destination_to_current_point|0.75,0.17108153324717276,0.10841291188552467,0.23887742757401317,0.10881636446687469,0.24173068118602073
primary_mean_difference|tsmini|nearest_known_destination_to_current_point,0.2329088919825046,0.16872014331865293,0.30292169019545745,0.16906254128449397,0.3043480566320229
interaction75_25|tsmini|nearest_known_destination_to_current_point,-0.095547356171319,-0.15115398047031506,-0.040207206591154857,-0.15086424672033225,-0.04107711092156193
difference|tsmini|last_observed_point|0.25,0.2666288894184918,0.19381670693306605,0.3430451400503184,0.19549735740682087,0.34377936147199073
difference|tsmini|last_observed_point|0.50,0.261008781162187,0.19152568135069084,0.33738090470838883,0.19185262707164785,0.3385316433058713
difference|tsmini|last_observed_point|0.66,0.23291636410216687,0.16018347104532485,0.31175579889575705,0.16032904149988841,0.31430061025730816
difference|tsmini|last_observed_point|0.75,0.17108153324717276,0.10841291188552467,0.23887742757401317,0.10881636446687469,0.24173068118602073
primary_mean_difference|tsmini|last_observed_point,0.2329088919825046,0.16872014331865293,0.30292169019545745,0.16906254128449397,0.3043480566320229
interaction75_25|tsmini|last_observed_point,-0.095547356171319,-0.15115398047031506,-0.040207206591154857,-0.15086424672033225,-0.04107711092156193
difference|tsmini|current_position_only_personal_retrieval|0.25,0.04603673091539906,0.007557592004594761,0.08612858435847551,0.008159885000212115,0.08628906974612904
difference|tsmini|current_position_only_personal_retrieval|0.50,0.04842364342995281,0.010552332656087699,0.08990202495641687,0.010813289457987797,0.08881223850224954
difference|tsmini|current_position_only_personal_retrieval|0.66,0.002279990276176891,-0.033728262121478884,0.0391780451047654,-0.033094398742647746,0.039281147295815895
difference|tsmini|current_position_only_personal_retrieval|0.75,-0.005103328587488298,-0.038505070182617764,0.02848947533922953,-0.03835958663029705,0.028184451678646527
primary_mean_difference|tsmini|current_position_only_personal_retrieval,0.022909259008510117,0.00017634795594891392,0.045748936753230066,0.00012705158556666453,0.045933161507295935
interaction75_25|tsmini|current_position_only_personal_retrieval,-0.05114005950288736,-0.10250649181233717,0.0012073986836929572,-0.10274118962610079,-0.0004509616057997217
difference|recurrent|most_frequent_personal_destination|0.25,0.041105329727761604,-0.007511421417662113,0.09420728166273103,-0.008068752465978941,0.09371982725621102
difference|recurrent|most_frequent_personal_destination|0.50,0.08516217769048202,0.03003932424049676,0.1459141133841317,0.029933811740470162,0.144270669521246
difference|recurrent|most_frequent_personal_destination|0.66,0.10601117750447854,0.048190222789540396,0.16943338856584375,0.047351761902162635,0.1686734984300841
difference|recurrent|most_frequent_personal_destination|0.75,0.1126216906300157,0.05396595043729073,0.17773580093144228,0.053038309451918106,0.17680574454689757
primary_mean_difference|recurrent|most_frequent_personal_destination,0.08622509388818446,0.032944093090698345,0.1441362590288047,0.031968776986641995,0.1431882279362969
interaction75_25|recurrent|most_frequent_personal_destination,0.07151636090225409,0.03711062689845452,0.11034409588850322,0.03703771038776313,0.10954944888058747
difference|recurrent|nearest_known_destination_to_current_point|0.25,0.29101093686793855,0.22118384952385273,0.36573910563560535,0.22217542653849479,0.3663024706649651
difference|recurrent|nearest_known_destination_to_current_point|0.50,0.2904429357039782,0.21758058816298975,0.36789453681223605,0.21758058816298975,0.36845196578580836
difference|recurrent|nearest_known_destination_to_current_point|0.66,0.2514573076120363,0.17853195227533658,0.32859161915895174,0.17802104564261131,0.3311898823506283
difference|recurrent|nearest_known_destination_to_current_point|0.75,0.18572773865634573,0.1194679505321389,0.2559760429846353,0.11972421937150861,0.2567438575588252
primary_mean_difference|recurrent|nearest_known_destination_to_current_point,0.25465972971007467,0.18895735402724964,0.3257447456664839,0.18849093009563828,0.3263989850977094
interaction75_25|recurrent|nearest_known_destination_to_current_point,-0.10528319821159285,-0.15553715992380412,-0.05587489382874681,-0.15670120088411063,-0.055766094397065556
difference|recurrent|last_observed_point|0.25,0.29101093686793855,0.22118384952385273,0.36573910563560535,0.22217542653849479,0.3663024706649651
difference|recurrent|last_observed_point|0.50,0.2904429357039782,0.21758058816298975,0.36789453681223605,0.21758058816298975,0.36845196578580836
difference|recurrent|last_observed_point|0.66,0.2514573076120363,0.17853195227533658,0.32859161915895174,0.17802104564261131,0.3311898823506283
difference|recurrent|last_observed_point|0.75,0.18572773865634573,0.1194679505321389,0.2559760429846353,0.11972421937150861,0.2567438575588252
primary_mean_difference|recurrent|last_observed_point,0.25465972971007467,0.18895735402724964,0.3257447456664839,0.18849093009563828,0.3263989850977094
interaction75_25|recurrent|last_observed_point,-0.10528319821159285,-0.15553715992380412,-0.05587489382874681,-0.15670120088411063,-0.055766094397065556
difference|recurrent|current_position_only_personal_retrieval|0.25,0.07041877836484584,0.020471983856964866,0.12087747263450364,0.022089132841658046,0.12053204110148114
difference|recurrent|current_position_only_personal_retrieval|0.50,0.07785779797174404,0.03916602634084628,0.11815580026173107,0.038752994948450005,0.1174164590235712
difference|recurrent|current_position_only_personal_retrieval|0.66,0.02082093378604631,-0.01028097660737255,0.05195461212350102,-0.009560804640127474,0.051631763674682
difference|recurrent|current_position_only_personal_retrieval|0.75,0.009542876821684636,-0.030882994847095748,0.0498877714514852,-0.030916960885428887,0.04947938849505888
primary_mean_difference|recurrent|current_position_only_personal_retrieval,0.0446600967360802,0.01687041216423005,0.07174518253833743,0.017212778218321203,0.07119763347220597
