user_id,fit,test,validation,total
0,96,40,24,160
4,233,97,58,388
5,49,21,12,82
7,30,13,8,51
9,29,13,7,49
11,103,44,26,173
13,78,33,19,130
16,29,12,7,48
17,226,95,57,378
19,43,19,11,73
20,78,33,19,130
24,56,24,14,94
25,397,166,99,662
26,25,11,6,42
28,37,16,9,62
29,25,11,6,42
35,44,19,11,74
36,41,18,10,69
37,86,37,22,145
38,62,26,16,104
39,134,56,34,224
51,26,11,6,43
52,58,25,15,98
62,347,145,87,579
65,70,30,17,117
68,237,99,59,395
71,42,18,11,71
85,249,104,62,415
88,29,12,7,48
89,36,15,9,60
91,53,23,13,89
92,86,36,21,143
96,64,27,16,107
101,38,16,9,63
103,26,12,7,45
112,113,47,28,188
119,26,11,7,44
126,150,63,37,250
128,1224,510,306,2040
134,38,16,10,64
144,286,120,72,478
147,46,20,11,77
153,1166,486,292,1944
163,470,196,117,783
168,56,24,14,94
179,42,18,10,70
