method,ratio,hit_r90,d200,d1km,mean_user_median_error_m,users,trajectories
current_position_only_personal_retrieval,0.25,0.3099186005407294,0.35935134274108343,0.4751392376074356,2153.3159622076464,37,1475
current_position_only_personal_retrieval,0.5,0.34694585841011993,0.39877286177804744,0.5286623717314817,2274.8671058076793,37,1475
current_position_only_personal_retrieval,0.66,0.4249811730613994,0.47901489671740355,0.6090956527608551,1151.6483989641806,37,1475
current_position_only_personal_retrieval,0.75,0.4427576782986454,0.5099088500260149,0.6353536806261421,808.0517025174349,37,1475
geometric_retrieval,0.25,0.39589684011514437,0.4472237398202511,0.5559651381076126,1461.521983538034,37,1475
geometric_retrieval,0.5,0.404568454952814,0.45860140439210106,0.5936462462928166,1254.9151910793307,37,1475
geometric_retrieval,0.66,0.4281692689808547,0.48839947351114127,0.6302219226178317,1205.8141317304683,37,1475
geometric_retrieval,0.75,0.45283182438154146,0.5141852671587633,0.6556110170542151,1026.6189102335372,37,1475
grid_full_prefix,0.25,0.4263229827032924,0.4835639469805585,0.5831232417100684,1151.3464694990387,37,1475
grid_full_prefix,0.5,0.434105737754379,0.4885765017530263,0.6089495298166003,976.2976049866592,37,1475
grid_full_prefix,0.66,0.45625802712973484,0.5114218556662682,0.6277937068524052,848.6766947658965,37,1475
grid_full_prefix,0.75,0.4673892386314429,0.5242831197616973,0.6443145608143208,750.0903826899628,37,1475
grid_last_state_only,0.25,0.3633730721125888,0.40311041260312663,0.5167440402480421,1867.3867345164488,37,1475
grid_last_state_only,0.5,0.37670529373284645,0.42546328234517383,0.5586115995516362,2103.4000235787535,37,1475
grid_last_state_only,0.66,0.4563624898976949,0.4997625471598785,0.6339233626015635,749.38893302015,37,1475
grid_last_state_only,0.75,0.4836676852249769,0.5375252483791495,0.6574996377802943,626.0799286473028,37,1475
