quantity,unit,observed,bootstrap_mean,ci_low,ci_high,ci_low_first_5000,ci_high_first_5000,max_endpoint_change_5000_to_10000
rate|current_position_only_personal_retrieval|0.25,percent,30.991860054072944,30.97945795101474,25.494213152569685,36.79675766961513,25.433849559972302,36.67011710400396,0.12664056561117576
rate|current_position_only_personal_retrieval|0.50,percent,34.694585841012,34.69020338133555,28.70117161151064,41.09933093594731,28.69515650618205,41.0445503427209,0.05478059322640405
rate|current_position_only_personal_retrieval|0.66,percent,42.49811730613994,42.48281277324513,36.15763661259201,49.138612582516615,36.08338451813004,49.03902866089065,0.09958392162596397
rate|current_position_only_personal_retrieval|0.75,percent,44.275767829864535,44.23775318149026,37.54966231952524,51.235711598882816,37.497034605623526,51.154738442956265,0.08097315592655008
mean_rate|current_position_only_personal_retrieval,percent,38.115082757772356,38.09755682177142,32.554280233586844,43.901966986288684,32.56398788106842,43.81600981135166,0.08595717493702182
rate|geometric_retrieval|0.25,percent,39.58968401151444,39.575029233945656,33.24948867847177,46.194553497554686,33.1483851677778,46.0374057066749,0.15714779087978314
rate|geometric_retrieval|0.50,percent,40.4568454952814,40.458235560100725,34.131029234487166,46.94121089206818,34.11487392130503,46.913922973284436,0.027287918783741816
rate|geometric_retrieval|0.66,percent,42.81692689808548,42.80306792936572,36.11701139477344,49.738745484151075,36.122378902435536,49.56892434554714,0.1698211386039361
rate|geometric_retrieval|0.75,percent,45.28318243815414,45.25603787848172,38.53964455169299,52.0938822016789,38.5618751712166,52.03984695309006,0.054035248588839124
mean_rate|geometric_retrieval,percent,42.03665971075887,42.02309265047346,35.77861077801352,48.462551096950975,35.75170821341083,48.38022370609255,0.08232739085842411
rate|grid_full_prefix|0.25,percent,42.63229827032924,42.61250095708896,35.85903157261338,49.61295339501991,35.77634366553336,49.51579275975702,0.0971606352628882
rate|grid_full_prefix|0.50,percent,43.410573775437896,43.391469511243365,36.841243833384866,50.217044017221575,36.749086563654075,50.19626714856492,0.09215726973079086
rate|grid_full_prefix|0.66,percent,45.62580271297348,45.596704624983374,38.95591630212003,52.341918745475404,38.86688564646287,52.16832535399185,0.173593391483557
rate|grid_full_prefix|0.75,percent,46.73892386314428,46.7224403027601,40.33906936222971,53.32527908790803,40.25911232671156,53.21870596090687,0.1065731270011625
mean_rate|grid_full_prefix,percent,44.60189965547123,44.58077884901895,38.18562181030075,51.22372010979559,38.14580477436427,51.198463392940134,0.03981703593647978
rate|grid_last_state_only|0.25,percent,36.337307211258874,36.32957160712627,29.82651048738588,43.16833718238556,29.588643979688925,43.06318692247408,0.23786650769695683
rate|grid_last_state_only|0.50,percent,37.67052937328465,37.668273891053445,31.86084302384089,43.74397190582433,31.825649029763113,43.744123942440005,0.035193994077776125
rate|grid_last_state_only|0.66,percent,45.63624898976948,45.60636345224674,39.20912922279003,52.17643107278259,39.106134819507844,52.13265350818098,0.10299440328218878
rate|grid_last_state_only|0.75,percent,48.366768522497686,48.353577651278734,41.744045646134694,55.14362708732854,41.69034683639195,55.09990353853138,0.053698809742741105
mean_rate|grid_last_state_only,percent,42.002713524202676,41.9894466504263,36.15051407110601,48.05275383924873,36.100958072415914,47.947272785689066,0.10548105355966442
difference|grid_full_prefix|grid_last_state_only|0.25,percentage_points,6.294991059070365,6.282929349962693,2.675428219946487,10.37551224178229,2.721476496563446,10.266447871777023,0.10906437000526736
difference|grid_full_prefix|grid_last_state_only|0.50,percentage_points,5.740044402153243,5.723195620189922,1.3499330281671935,10.323489490962984,1.2128112692500432,10.393868032135625,0.13712175891715028
difference|grid_full_prefix|grid_last_state_only|0.66,percentage_points,-0.010446276796000076,-0.009658827263370145,-3.3737922646718004,3.7071194886813017,-3.4315541100229328,3.579081638500518,0.1280378501807835
difference|grid_full_prefix|grid_last_state_only|0.75,percentage_points,-1.6278446593534113,-1.631137348518636,-4.718149939722729,0.891850884478772,-4.657465448030769,0.9985499464117829,0.10669906193301082
mean_difference|grid_full_prefix|grid_last_state_only,percentage_points,2.5991861312685494,2.591332198592652,0.1322535644657863,5.212408138976121,0.071426273759494,5.1646888671448945,0.060827290706292295
stage_interaction|grid_full_prefix|grid_last_state_only|75minus25,percentage_points,-7.9228357184237765,-7.914066698481329,-13.247337429914749,-3.2083494444848535,-13.13497485278962,-3.2079846795393796,0.11236257712512909
difference|geometric_retrieval|current_position_only_personal_retrieval|0.25,percentage_points,8.597823957441497,8.595571282930914,4.661899211415511,12.80836287468853,4.67036036460151,12.720154878986024,0.08820799570250593
difference|geometric_retrieval|current_position_only_personal_retrieval|0.50,percentage_points,5.762259654269397,5.768032178765178,1.445060731049522,10.116463801038293,1.5215563506076628,10.107576221827992,0.07649561955814077
difference|geometric_retrieval|current_position_only_personal_retrieval|0.66,percentage_points,0.31880959194554026,0.3202551561205885,-3.298898915767759,4.0048340380621426,-3.3366273843457606,4.046776405837166,0.04194236777502347
difference|geometric_retrieval|current_position_only_personal_retrieval|0.75,percentage_points,1.0074146082896085,1.0182846969914499,-2.1779570479226535,4.400296602386496,-2.1475541471641217,4.456138644280096,0.05584204189359987
mean_difference|geometric_retrieval|current_position_only_personal_retrieval,percentage_points,3.9215769529865105,3.9255358287020323,1.6747247248920503,6.2164074300364485,1.7071556368978125,6.206802342369843,0.0324309120057622
stage_interaction|geometric_retrieval|current_position_only_personal_retrieval|75minus25,percentage_points,-7.590409349151888,-7.577286585939463,-13.066016855690787,-2.1620677023690544,-12.982777370313885,-2.1907029762858095,0.08323948537690207
