analysis,stratum,ratio,full_grid_hit_r90,last_state_grid_hit_r90,paired_difference,users,cases
history_size,long,0.25,0.43993813938495857,0.3682780765347383,0.07166006285022025,10,935
history_size,long,0.5,0.4547140474193975,0.3664289807475195,0.08828506667187799,10,935
history_size,long,0.66,0.469526264189719,0.45011381775231935,0.019412446437399554,10,935
history_size,long,0.75,0.48641006218119626,0.49782751094460104,-0.011417448763404777,10,935
history_size,medium,0.25,0.40626267583933484,0.37451391463500544,0.03174876120432947,12,324
history_size,medium,0.5,0.43305193596192826,0.42869439566331247,0.004357540298615807,12,324
history_size,medium,0.66,0.44161675077674317,0.4788419470608638,-0.037225196284120764,12,324
history_size,medium,0.75,0.4638975335838417,0.4711473711406968,-0.007249837556855101,12,324
history_size,short,0.25,0.42445064681906786,0.35317118553960664,0.07127946127946129,15,216
history_size,short,0.5,0.42120990607832715,0.3624401913875598,0.05876971469076732,15,216
history_size,short,0.66,0.4573631047315258,0.4550062023746234,0.002356902356902357,15,216
history_size,short,0.75,0.45902002480949844,0.47958532695374795,-0.020565302144249512,15,216
