analysis,metric,quantity,first_method,second_method,ratio_or_change,observed,ci_low,ci_high
canonical_cross_method,hit_r90_all,rate,probabilistic_grid_pattern_retrieval,,0.25,42.27376542218276,35.53345023702409,49.27203839915521
canonical_cross_method,hit_r90_all,rate,probabilistic_grid_pattern_retrieval,,0.50,43.410573775437896,36.841243833384866,50.217044017221575
canonical_cross_method,hit_r90_all,rate,probabilistic_grid_pattern_retrieval,,0.66,45.554351951867545,38.90308844780168,52.265051382346535
canonical_cross_method,hit_r90_all,rate,probabilistic_grid_pattern_retrieval,,0.75,46.800463235028474,40.421323541426105,53.3896753636066
canonical_cross_method,hit_r90_all,mean_rate,probabilistic_grid_pattern_retrieval,,mean,44.50978859612917,38.09144429010838,51.16014760583544
canonical_cross_method,hit_r90_all,rate,bigru,,0.25,38.049560429513654,31.472038304450546,44.936896716762135
canonical_cross_method,hit_r90_all,rate,bigru,,0.50,42.471365050117775,35.94269357792196,49.18162579675436
canonical_cross_method,hit_r90_all,rate,bigru,,0.66,44.568469666231366,38.29800237913882,51.02226619899699
canonical_cross_method,hit_r90_all,rate,bigru,,0.75,45.23546867741319,38.81796761099237,51.73592690512624
canonical_cross_method,hit_r90_all,mean_rate,bigru,,mean,42.581215955819,36.37674487629199,49.01992936839474
canonical_cross_method,hit_r90_all,rate,geometric_retrieval,,0.25,39.58968401151444,33.24948867847177,46.194553497554686
canonical_cross_method,hit_r90_all,rate,geometric_retrieval,,0.50,40.4568454952814,34.131029234487166,46.94121089206818
canonical_cross_method,hit_r90_all,rate,geometric_retrieval,,0.66,42.81692689808548,36.11701139477344,49.738745484151075
canonical_cross_method,hit_r90_all,rate,geometric_retrieval,,0.75,45.28318243815414,38.53964455169299,52.0938822016789
canonical_cross_method,hit_r90_all,mean_rate,geometric_retrieval,,mean,42.03665971075887,35.77861077801352,48.462551096950975
canonical_cross_method,hit_r90_all,rate,tsmini,,0.25,35.61165261847782,29.33023531783455,42.212653333485086
canonical_cross_method,hit_r90_all,rate,tsmini,,0.50,39.52747381618764,33.31534010439397,46.04624520628926
canonical_cross_method,hit_r90_all,rate,tsmini,,0.66,42.71184949703814,36.42251456987004,49.182269617907096
canonical_cross_method,hit_r90_all,rate,tsmini,,0.75,43.77136325475588,37.47049278102677,50.21620892609135
canonical_cross_method,hit_r90_all,mean_rate,tsmini,,mean,40.405584796614875,34.324760664844206,46.82917967006302
canonical_cross_method,hit_r90_all,rate,current_position_only_personal_retrieval,,0.25,30.991860054072944,25.494213152569685,36.79675766961513
canonical_cross_method,hit_r90_all,rate,current_position_only_personal_retrieval,,0.50,34.694585841012,28.70117161151064,41.09933093594731
canonical_cross_method,hit_r90_all,rate,current_position_only_personal_retrieval,,0.66,42.49811730613994,36.15763661259201,49.138612582516615
canonical_cross_method,hit_r90_all,rate,current_position_only_personal_retrieval,,0.75,44.275767829864535,37.54966231952524,51.235711598882816
canonical_cross_method,hit_r90_all,mean_rate,current_position_only_personal_retrieval,,mean,38.115082757772356,32.554280233586844,43.901966986288684
canonical_cross_method,hit_r90_all,rate,most_frequent_personal_destination,,0.25,33.94504466538117,27.456097453302142,40.542235240445294
canonical_cross_method,hit_r90_all,rate,most_frequent_personal_destination,,0.50,33.94504466538117,27.456097453302142,40.542235240445294
canonical_cross_method,hit_r90_all,rate,most_frequent_personal_destination,,0.66,33.94504466538117,27.456097453302142,40.542235240445294
canonical_cross_method,hit_r90_all,rate,most_frequent_personal_destination,,0.75,33.94504466538117,27.456097453302142,40.542235240445294
canonical_cross_method,hit_r90_all,mean_rate,most_frequent_personal_destination,,mean,33.94504466538117,27.456097453302142,40.542235240445294
canonical_cross_method,hit_r90_all,rate,nearest_known_destination_to_current_point,,0.25,8.97291268517353,6.009713272938571,12.131178362798616
canonical_cross_method,hit_r90_all,rate,nearest_known_destination_to_current_point,,0.50,13.415020143975703,9.481392126162188,17.551465849718376
canonical_cross_method,hit_r90_all,rate,nearest_known_destination_to_current_point,,0.66,19.413119628559052,14.39676312474695,24.69361714694514
canonical_cross_method,hit_r90_all,rate,nearest_known_destination_to_current_point,,0.75,26.644456940244787,21.085683110253132,32.4887100916007
canonical_cross_method,hit_r90_all,mean_rate,nearest_known_destination_to_current_point,,mean,17.111377349488265,13.287395830955754,21.05283809702004
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,bigru,0.25,4.224204992669106,0.38421011740656025,8.41154653773096
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,bigru,0.50,0.9392087253201176,-2.1297419557901622,3.9172980245152607
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,bigru,0.66,0.9858822856361804,-1.5509705051755809,3.527544179191862
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,bigru,0.75,1.5649945576152846,-1.0340544245815069,4.095445122874991
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,bigru,mean,1.9285726403101724,-0.3591877674908476,4.256466337068113
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,bigru,75_minus_25,-2.6592104350538217,-6.850262993279878,1.4529302023226363
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,geometric_retrieval,0.25,2.6840814106683206,-1.3528811986173035,6.503803557035303
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,geometric_retrieval,0.50,2.953728280156498,-1.0220893168642684,6.8648957162319775
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,geometric_retrieval,0.66,2.737425053782067,-0.6328094963044855,6.145203742346465
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,geometric_retrieval,0.75,1.5172807968743263,-2.2155971589499335,4.909406939587752
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,geometric_retrieval,mean,2.473128885370303,-0.46824323958072794,5.3256336413696586
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,geometric_retrieval,75_minus_25,-1.1668006137939944,-5.919855295089672,3.515198292255101
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.25,6.662112803704945,3.0412135101652367,10.14681063403066
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.50,3.883099959250258,0.6101482304192103,7.222730995594728
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.66,2.842502454829404,0.1655546126838775,5.415204710522761
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,tsmini,0.75,3.0290999802725924,0.07662895376111106,5.769582315825506
canonical_cross_method,hit_r90_all,mean_difference,probabilistic_grid_pattern_retrieval,tsmini,mean,4.1042037995143,1.630447452903866,6.6503563829925865
canonical_cross_method,hit_r90_all,difference_in_change,probabilistic_grid_pattern_retrieval,tsmini,75_minus_25,-3.6330128234323524,-7.413293509806475,0.17573978578596097
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,0.25,11.281905368109818,6.586381037188168,15.976293390495893
canonical_cross_method,hit_r90_all,paired_difference,probabilistic_grid_pattern_retrieval,current_position_only_personal_retrieval,0.50,8.715987934425895,3.8512452054492887,13.625442355659782
