method,ratio,user_macro_hit_r90,users,cases
bigru,0.25,0.38049560429513657,37,1475
bigru,0.5,0.4247136505011778,37,1475
bigru,0.66,0.44568469666231364,37,1475
bigru,0.75,0.4523546867741319,37,1475
current_position_only_personal_retrieval,0.25,0.3099186005407294,37,1475
current_position_only_personal_retrieval,0.5,0.34694585841011993,37,1475
current_position_only_personal_retrieval,0.66,0.4249811730613994,37,1475
current_position_only_personal_retrieval,0.75,0.4427576782986454,37,1475
geometric_retrieval,0.25,0.39589684011514437,37,1475
geometric_retrieval,0.5,0.404568454952814,37,1475
geometric_retrieval,0.66,0.4281692689808547,37,1475
geometric_retrieval,0.75,0.45283182438154146,37,1475
most_frequent_personal_destination,0.25,0.33945044665381174,37,1475
most_frequent_personal_destination,0.5,0.33945044665381174,37,1475
most_frequent_personal_destination,0.66,0.33945044665381174,37,1475
most_frequent_personal_destination,0.75,0.33945044665381174,37,1475
nearest_known_destination_to_current_point,0.25,0.08972912685173529,37,1475
nearest_known_destination_to_current_point,0.5,0.13415020143975703,37,1475
nearest_known_destination_to_current_point,0.66,0.19413119628559047,37,1475
nearest_known_destination_to_current_point,0.75,0.2664445694024479,37,1475
probabilistic_grid_pattern_retrieval,0.25,0.42273765422182763,37,1475
probabilistic_grid_pattern_retrieval,0.5,0.434105737754379,37,1475
probabilistic_grid_pattern_retrieval,0.66,0.4555435195186755,37,1475
probabilistic_grid_pattern_retrieval,0.75,0.4680046323502849,37,1475
tsmini,0.25,0.3561165261847782,37,1475
tsmini,0.5,0.39527473816187636,37,1475
tsmini,0.66,0.4271184949703814,37,1475
tsmini,0.75,0.4377136325475588,37,1475
