analysis,metric,quantity,first_method,second_method,ratio_or_change,observed,ci_low,ci_high,assignment_rule
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.25,42.27376542218276,35.53345023702409,49.27203839915521,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.50,43.410573775437896,36.841243833384866,50.217044017221575,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.66,45.554351951867545,38.90308844780168,52.265051382346535,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.75,46.800463235028474,40.421323541426105,53.3896753636066,nearest_medoid
held_out_point_count,hit_r90_all,mean_rate,grid_full_prefix,,mean,44.50978859612917,38.09144429010838,51.16014760583544,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.25,36.41760952449067,29.953237086416443,43.340320105042196,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.50,38.50060926013066,32.38740148958116,45.04155719755454,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.66,46.14144480506192,39.517662487359146,52.694632643300906,nearest_medoid
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.75,48.17790126335295,41.66619671194047,54.841947936135426,nearest_medoid
held_out_point_count,hit_r90_all,mean_rate,grid_last_state_only,,mean,42.30939121325905,36.20774331542093,48.54204020999995,nearest_medoid
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,5.856155897692094,2.2324830716543254,9.800445788765305,nearest_medoid
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,4.9099645153072355,0.5724100834687218,9.278910369472658,nearest_medoid
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,-0.587092853194382,-3.3132266131633146,2.0762029121813117,nearest_medoid
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-1.3774380283244791,-4.302596132646764,0.9436506104672001,nearest_medoid
held_out_point_count,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.200397382870117,0.05301720034292516,4.336160149018363,nearest_medoid
held_out_point_count,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-7.233593926016574,-12.518671501418266,-2.516469458630829,nearest_medoid
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.25,42.38247174715547,35.6051804226932,49.39440272534633,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.50,43.59674249505073,37.044031034072965,50.369980776810095,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.66,45.703242013512074,39.10049368603114,52.38834580658326,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.75,46.92772508538962,40.52430019215133,53.480280545489826,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,mean_rate,grid_full_prefix,,mean,44.652545335276976,38.26368103687993,51.26247167475474,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.25,36.17893864688105,29.909559999721186,43.021065033697546,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.50,38.66813865075934,32.588308789069906,45.16280353863172,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.66,46.055069480838654,39.546554213618165,52.51803060576547,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.75,48.192573184962974,41.74225611077763,54.85066607948874,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,mean_rate,grid_last_state_only,,mean,42.27367999086051,36.29988198102323,48.49331043294011,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,6.2035331002744165,2.3894847028154445,10.369264838617479,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,4.92860384429139,0.6030974437415074,9.288768156487778,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,-0.351827467326582,-2.9445998469743424,2.1476927885697763,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-1.2648480995733513,-4.110726736158815,0.9501839430835913,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.3788653444164685,0.17893256793691256,4.539069369635644,dbscan_membership
held_out_point_count_dbscan_membership,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-7.468381199847768,-12.851745354879432,-2.673111285056905,dbscan_membership
