analysis,metric,quantity,first_method,second_method,ratio_or_change,observed,ci_low,ci_high
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.25,42.27376542218276,35.53345023702409,49.27203839915521
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.50,43.410573775437896,36.841243833384866,50.217044017221575
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.66,45.554351951867545,38.90308844780168,52.265051382346535
held_out_point_count,hit_r90_all,rate,grid_full_prefix,,0.75,46.800463235028474,40.421323541426105,53.3896753636066
held_out_point_count,hit_r90_all,mean_rate,grid_full_prefix,,mean,44.50978859612917,38.09144429010838,51.16014760583544
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.25,36.41760952449067,29.953237086416443,43.340320105042196
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.50,38.50060926013066,32.38740148958116,45.04155719755454
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.66,46.14144480506192,39.517662487359146,52.694632643300906
held_out_point_count,hit_r90_all,rate,grid_last_state_only,,0.75,48.17790126335295,41.66619671194047,54.841947936135426
held_out_point_count,hit_r90_all,mean_rate,grid_last_state_only,,mean,42.30939121325905,36.20774331542093,48.54204020999995
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,5.856155897692094,2.2324830716543254,9.800445788765305
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,4.9099645153072355,0.5724100834687218,9.278910369472658
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,-0.587092853194382,-3.3132266131633146,2.0762029121813117
held_out_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-1.3774380283244791,-4.302596132646764,0.9436506104672001
held_out_point_count,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.200397382870117,0.05301720034292516,4.336160149018363
held_out_point_count,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-7.233593926016574,-12.518671501418266,-2.516469458630829
held_out_elapsed_time,hit_r90_all,rate,grid_full_prefix,,0.25,40.085551304159615,33.27353839117506,47.156353440410804
held_out_elapsed_time,hit_r90_all,rate,grid_full_prefix,,0.50,44.60241596095938,38.17189562939471,51.22362774261358
held_out_elapsed_time,hit_r90_all,rate,grid_full_prefix,,0.66,45.65012201218609,39.01982408627863,52.40725788309577
held_out_elapsed_time,hit_r90_all,rate,grid_full_prefix,,0.75,45.753712007757805,39.27141738952093,52.53028721105912
held_out_elapsed_time,hit_r90_all,mean_rate,grid_full_prefix,,mean,44.02295032126572,37.60711238041026,50.64466378885888
