variant,method,ratio,user_macro_hit_r90,users,cases
id_top10,grid_full_prefix,0.25,0.42273765422182763,37,1475
id_top10,grid_full_prefix,0.5,0.434105737754379,37,1475
id_top10,grid_full_prefix,0.66,0.4555435195186755,37,1475
id_top10,grid_full_prefix,0.75,0.4680046323502849,37,1475
id_top10,grid_last_state_only,0.25,0.3641760952449067,37,1475
id_top10,grid_last_state_only,0.5,0.3850060926013066,37,1475
id_top10,grid_last_state_only,0.66,0.46141444805061926,37,1475
id_top10,grid_last_state_only,0.75,0.4817790126335295,37,1475
id_top20,grid_full_prefix,0.25,0.41602390594771343,37,1475
id_top20,grid_full_prefix,0.5,0.4271410137419472,37,1475
id_top20,grid_full_prefix,0.66,0.44465557116509974,37,1475
id_top20,grid_full_prefix,0.75,0.4546116726867462,37,1475
id_top20,grid_last_state_only,0.25,0.3643589388199967,37,1475
id_top20,grid_last_state_only,0.5,0.39135134443007136,37,1475
id_top20,grid_last_state_only,0.66,0.4461614715195222,37,1475
id_top20,grid_last_state_only,0.75,0.4711457757444732,37,1475
id_top5,grid_full_prefix,0.25,0.41171648102306463,37,1475
id_top5,grid_full_prefix,0.5,0.42605061020932933,37,1475
id_top5,grid_full_prefix,0.66,0.44593763109704043,37,1475
id_top5,grid_full_prefix,0.75,0.4715630205449337,37,1475
id_top5,grid_last_state_only,0.25,0.3599639027853687,37,1475
id_top5,grid_last_state_only,0.5,0.38791350348269527,37,1475
id_top5,grid_last_state_only,0.66,0.45936070844396604,37,1475
id_top5,grid_last_state_only,0.75,0.4740885314458472,37,1475
inclusive_top10,grid_full_prefix,0.25,0.4219740559507379,37,1475
inclusive_top10,grid_full_prefix,0.5,0.43417496282360407,37,1475
inclusive_top10,grid_full_prefix,0.66,0.4549429189180749,37,1475
inclusive_top10,grid_full_prefix,0.75,0.465952126537691,37,1475
inclusive_top10,grid_last_state_only,0.25,0.37735148549501174,37,1475
inclusive_top10,grid_last_state_only,0.5,0.3906022253872694,37,1475
inclusive_top10,grid_last_state_only,0.66,0.45794324875735654,37,1475
inclusive_top10,grid_last_state_only,0.75,0.4766825501456344,37,1475
legacy_top10,grid_full_prefix,0.25,0.4263229827032924,37,1475
legacy_top10,grid_full_prefix,0.5,0.434105737754379,37,1475
legacy_top10,grid_full_prefix,0.66,0.45625802712973484,37,1475
legacy_top10,grid_full_prefix,0.75,0.4673892386314429,37,1475
legacy_top10,grid_last_state_only,0.25,0.3633730721125888,37,1475
legacy_top10,grid_last_state_only,0.5,0.37670529373284645,37,1475
legacy_top10,grid_last_state_only,0.66,0.4563624898976949,37,1475
legacy_top10,grid_last_state_only,0.75,0.4836676852249769,37,1475
