variant,quantity,ratio_or_change,observed,ci_low,ci_high
legacy_top10,paired_difference,0.25,6.294991059070365,2.675428219946487,10.37551224178229
legacy_top10,paired_difference,0.50,5.740044402153243,1.3499330281671935,10.323489490962984
legacy_top10,paired_difference,0.66,-0.010446276796000076,-3.3737922646718004,3.7071194886813017
legacy_top10,paired_difference,0.75,-1.6278446593534113,-4.718149939722729,0.891850884478772
legacy_top10,difference_in_change,75_minus_25,-7.9228357184237765,-13.247337429914749,-3.2083494444848535
id_top10,paired_difference,0.25,5.856155897692094,2.2324830716543254,9.800445788765305
id_top10,paired_difference,0.50,4.9099645153072355,0.5724100834687218,9.278910369472658
id_top10,paired_difference,0.66,-0.587092853194382,-3.3132266131633146,2.0762029121813117
id_top10,paired_difference,0.75,-1.3774380283244791,-4.302596132646764,0.9436506104672001
id_top10,difference_in_change,75_minus_25,-7.233593926016574,-12.518671501418266,-2.516469458630829
inclusive_top10,paired_difference,0.25,4.462257045572626,0.9659154743806558,8.319057142304217
inclusive_top10,paired_difference,0.50,4.357273743633455,0.13470485244481442,8.695466955701141
inclusive_top10,paired_difference,0.66,-0.30003298392816125,-3.1816410004435967,2.5892227709503945
inclusive_top10,paired_difference,0.75,-1.0730423607943462,-3.3376464592847626,1.0987138807184653
inclusive_top10,difference_in_change,75_minus_25,-5.535299406366972,-10.212037135493265,-1.2806422009017737
id_top5,paired_difference,0.25,5.175257823769597,0.7225895442654665,9.884546445319902
id_top5,paired_difference,0.50,3.8137106726634062,-1.486268116107323,9.175148139776429
id_top5,paired_difference,0.66,-1.3423077346925605,-4.705556810644267,1.7743416395962577
id_top5,paired_difference,0.75,-0.252551090091363,-3.84769543132552,3.3544977545226877
id_top5,difference_in_change,75_minus_25,-5.42780891386096,-11.33345967245126,0.45943491707655143
id_top20,paired_difference,0.25,5.166496712771684,1.8748867655643673,8.977856931348235
id_top20,paired_difference,0.50,3.578966931187577,-0.47287253953473024,7.680940717495791
id_top20,paired_difference,0.66,-0.15059003544225513,-2.4968960627103343,2.277364743227677
id_top20,paired_difference,0.75,-1.6534103057727123,-4.291846663274867,0.607277579817359
id_top20,difference_in_change,75_minus_25,-6.819907018544396,-11.288737606426258,-2.7624262423394907
