method,reference_method,quantity,ratio_or_change,observed_difference,bootstrap_mean,ci_low,ci_high,users
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.25,0.085978239574415,0.0860409056205347,0.0464748897583317,0.1283665563171115,37
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.5,0.057622596542694,0.0574265316858797,0.0125171582242135,0.1017010726298326,37
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.66,0.0031880959194553,0.0033033733763382,-0.0323872816262969,0.0393899086558301,37
aligned_pointwise_mean,current_position_only_personal_retrieval,ratio,0.75,0.0100741460828961,0.0100405772084125,-0.0219991076237167,0.0437628950632684,37
aligned_pointwise_mean,current_position_only_personal_retrieval,mean_across_ratios,mean,0.0392157695298651,0.0391928651327633,0.0171930861010925,0.0613203403008384,37
aligned_pointwise_mean,current_position_only_personal_retrieval,difference_in_change,75_minus_25,-0.0759040934915188,-0.0755575203104938,-0.1311939037492356,-0.020847669650984,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.25,0.0787903862211582,0.0790622100049291,0.0381458112762692,0.1215941714694023,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.5,0.0685747406782184,0.068564579678458,0.028173059139966,0.1105312305746557,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.66,0.0241042567589708,0.0238558578058404,-0.0093140538174479,0.0586236284497465,37
dtw_mean_path_cost,current_position_only_personal_retrieval,ratio,0.75,0.0219486139750833,0.0219014589503566,-0.0077475752189757,0.0537027688618764,37
dtw_mean_path_cost,current_position_only_personal_retrieval,mean_across_ratios,mean,0.0483544994083577,0.0484342379564299,0.0255240598463849,0.0713609683522714,37
dtw_mean_path_cost,current_position_only_personal_retrieval,difference_in_change,75_minus_25,-0.0568417722460748,-0.0569696936288047,-0.1077951237024335,-0.0061242240575183,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.25,0.0632179784889815,0.063456478930555,0.0249564345292214,0.1031767608824616,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.5,0.0695001937120436,0.0694339764872956,0.0294136166800339,0.1116544021788116,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.66,0.0280017617639747,0.0278681895880817,-0.0066713526353368,0.0636210823769907,37
discrete_frechet,current_position_only_personal_retrieval,ratio,0.75,0.0144813046267165,0.0143352938542833,-0.0194268097664407,0.048797762369969,37
discrete_frechet,current_position_only_personal_retrieval,mean_across_ratios,mean,0.0438003096479291,0.0436186457416901,0.0199841894074556,0.0675214530484741,37
discrete_frechet,current_position_only_personal_retrieval,difference_in_change,75_minus_25,-0.0487366738622649,-0.048614391666604,-0.1018528796024526,0.0062069641116799,37
