requested_k,ratio,cases,mean_entropy_nats,mean_effective_destinations,mean_top1_share
5,0.25,1475,0.935827547743042,2.8001031451950227,0.5640677966101695
5,0.5,1475,0.8757899992359918,2.671863594476808,0.5877966101694915
5,0.66,1475,0.7646052863345006,2.4700973391438623,0.6461016949152543
5,0.75,1475,0.6811696548832841,2.2817078950829015,0.6863728813559322
10,0.25,1475,1.2224498314674115,3.8405540947756682,0.5264406779661017
10,0.5,1475,1.148628729269043,3.661140289894691,0.5530169491525424
10,0.66,1475,1.0097894900683753,3.3145900717403904,0.6170169491525423
10,0.75,1475,0.9349789037606352,3.1745712581885868,0.6483389830508475
20,0.25,1475,1.4708281013377311,5.044734210389888,0.5004745762711865
20,0.5,1475,1.4143814181840035,4.989962055027474,0.5171525423728813
20,0.66,1475,1.247582850756794,4.415320819377971,0.5877627118644068
20,0.75,1475,1.142556306095918,4.078269457881434,0.6252881355932203
